Genotype,nitrogen,Cob_Width_2018,Cob_Weight_2018,Cob_Length_2018,Weight_of_20_Kernel_2018
38-11,+N,24.15,23.725,17.075,3.7
38-11,+N,24.15,23.725,17.075,4.6
38-11,+N,24.15,14.8,13.2,3.7
38-11,+N,24.15,14.8,13.2,4.6
38-11,+N,21,23.725,17.075,3.7
38-11,+N,21,23.725,17.075,4.6
38-11,+N,24.15,23.725,13.2,3.7
38-11,+N,24.15,23.725,13.2,4.6
38-11,+N,24.15,14.8,17.075,3.7
38-11,+N,24.15,14.8,17.075,4.6
38-11,+N,21,14.8,13.2,3.7
38-11,+N,21,14.8,13.2,4.6
38-11,+N,21,23.725,13.2,3.7
38-11,+N,21,23.725,13.2,4.6
38-11,+N,21,14.8,17.075,3.7
38-11,+N,21,14.8,17.075,4.6
4226,+N,22.5,13.76666667,13.375,4.3
4226,+N,22.5,13.76666667,13.375,3.1
4226,+N,22.5,13.76666667,13.8,4.3
4226,+N,22.5,13.76666667,13.8,3.1
4226,+N,22.5,13.3,13.375,4.3
4226,+N,22.5,13.3,13.375,3.1
4226,+N,22.5,13.3,13.8,4.3
4226,+N,22.5,13.3,13.8,3.1
4226,+N,23.63333333,13.76666667,13.375,4.3
4226,+N,23.63333333,13.76666667,13.375,3.1
4226,+N,23.63333333,13.76666667,13.8,4.3
4226,+N,23.63333333,13.76666667,13.8,3.1
4226,+N,23.63333333,13.3,13.375,4.3
4226,+N,23.63333333,13.3,13.375,3.1
4226,+N,23.63333333,13.3,13.8,4.3
4226,+N,23.63333333,13.3,13.8,3.1
4722,+N,20.6,17.23333333,12.38,3.6
4722,+N,20.6,17.23333333,12.38,4.7
4722,+N,18.28,8.74,15.46666667,3.6
4722,+N,18.28,8.74,15.46666667,4.7
4722,+N,18.28,17.23333333,12.38,3.6
4722,+N,18.28,17.23333333,12.38,4.7
4722,+N,20.6,17.23333333,15.46666667,3.6
4722,+N,20.6,17.23333333,15.46666667,4.7
4722,+N,18.28,8.74,12.38,3.6
4722,+N,18.28,8.74,12.38,4.7
4722,+N,20.6,8.74,15.46666667,3.6
4722,+N,20.6,8.74,15.46666667,4.7
4722,+N,18.28,17.23333333,15.46666667,3.6
4722,+N,18.28,17.23333333,15.46666667,4.7
4722,+N,20.6,8.74,12.38,3.6
4722,+N,20.6,8.74,12.38,4.7
A188,+N,21.25,5.9,9.95,4.6
A188,+N,21.25,5.9,9.95,4.2
A188,+N,21.25,5.9,10.775,4.6
A188,+N,21.25,5.9,10.775,4.2
A188,+N,24.3,5.9,9.95,4.6
A188,+N,24.3,5.9,9.95,4.2
A188,+N,24.3,5.9,10.775,4.6
A188,+N,24.3,5.9,10.775,4.2
A188,+N,24.3,8,9.95,4.6
A188,+N,24.3,8,9.95,4.2
A188,+N,24.3,8,10.775,4.6
A188,+N,24.3,8,10.775,4.2
A188,+N,21.25,8,9.95,4.6
A188,+N,21.25,8,9.95,4.2
A188,+N,21.25,8,10.775,4.6
A188,+N,21.25,8,10.775,4.2
A214N,+N,16.35714286,8.4,12.14285714,5.3
A214N,+N,,8.4,12.14285714,5.3
A239,+N,20.15,8.05,12.08,5.4
A239,+N,20.15,8.05,12.08,3.6
A239,+N,20.15,8.05,10.6,5.4
A239,+N,20.15,8.05,10.6,3.6
A239,+N,20.15,11.66,12.08,5.4
A239,+N,20.15,11.66,12.08,3.6
A239,+N,20.15,11.66,10.6,5.4
A239,+N,20.15,11.66,10.6,3.6
A239,+N,22.74,8.05,12.08,5.4
A239,+N,22.74,8.05,12.08,3.6
A239,+N,22.74,8.05,10.6,5.4
A239,+N,22.74,8.05,10.6,3.6
A239,+N,22.74,11.66,12.08,5.4
A239,+N,22.74,11.66,12.08,3.6
A239,+N,22.74,11.66,10.6,5.4
A239,+N,22.74,11.66,10.6,3.6
A554,+N,21.6,9.475,9.65,3.6
A554,+N,21.6,9.475,9.65,3.3
A554,+N,19.92,5.4,8.04,3.6
A554,+N,19.92,5.4,8.04,3.3
A554,+N,19.92,9.475,9.65,3.6
A554,+N,19.92,9.475,9.65,3.3
A554,+N,19.92,9.475,8.04,3.6
A554,+N,19.92,9.475,8.04,3.3
A554,+N,21.6,5.4,9.65,3.6
A554,+N,21.6,5.4,9.65,3.3
A554,+N,21.6,5.4,8.04,3.6
A554,+N,21.6,5.4,8.04,3.3
A554,+N,21.6,9.475,8.04,3.6
A554,+N,21.6,9.475,8.04,3.3
A554,+N,19.92,5.4,9.65,3.6
A554,+N,19.92,5.4,9.65,3.3
A556,+N,22,10.175,9.875,4.1
A556,+N,22,10.175,9.875,4.8
A556,+N,23.86666667,10.53333333,9.566666667,4.1
A556,+N,23.86666667,10.53333333,9.566666667,4.8
A556,+N,23.86666667,10.53333333,9.875,4.1
A556,+N,23.86666667,10.53333333,9.875,4.8
A556,+N,23.86666667,10.175,9.875,4.1
A556,+N,23.86666667,10.175,9.875,4.8
A556,+N,22,10.53333333,9.566666667,4.1
A556,+N,22,10.53333333,9.566666667,4.8
A556,+N,22,10.53333333,9.875,4.1
A556,+N,22,10.53333333,9.875,4.8
A556,+N,23.86666667,10.175,9.566666667,4.1
A556,+N,23.86666667,10.175,9.566666667,4.8
A556,+N,22,10.175,9.566666667,4.1
A556,+N,22,10.175,9.566666667,4.8
A619,+N,23.66666667,6.833333333,10.93333333,2.4
A619,+N,,6.833333333,10.93333333,2.4
A632,+N,22.33333333,13.85,11.225,3.8
A632,+N,22.33333333,13.85,11.225,6.4
A632,+N,22.33333333,9.066666667,11.53333333,3.8
A632,+N,22.33333333,9.066666667,11.53333333,6.4
A632,+N,20.75,13.85,11.225,3.8
A632,+N,20.75,13.85,11.225,6.4
A632,+N,22.33333333,13.85,11.53333333,3.8
A632,+N,22.33333333,13.85,11.53333333,6.4
A632,+N,22.33333333,9.066666667,11.225,3.8
A632,+N,22.33333333,9.066666667,11.225,6.4
A632,+N,20.75,9.066666667,11.53333333,3.8
A632,+N,20.75,9.066666667,11.53333333,6.4
A632,+N,20.75,13.85,11.53333333,3.8
A632,+N,20.75,13.85,11.53333333,6.4
A632,+N,20.75,9.066666667,11.225,3.8
A632,+N,20.75,9.066666667,11.225,6.4
A634,+N,20.33333333,7.02,8.14,5.8
A634,+N,20.33333333,7.02,8.14,6.5
A634,+N,20.33333333,7.02,9.5,5.8
A634,+N,20.33333333,7.02,9.5,6.5
A634,+N,19.9,7.02,8.14,5.8
