Genotype,HN Cob Width,HN Cob Weight,HN Cob Length,HN 20 Kernel Weight
38-11,24.15,23.725,12.5,4.3
38-11,24.15,23.725,12.5,4.5
38-11,21,23.725,12.5,4.3
38-11,21,23.725,12.5,4.5
38-11,24.15,23.725,13.8,4.3
38-11,24.15,23.725,13.8,4.5
38-11,21,14.8,13.8,4.3
38-11,21,14.8,13.8,4.5
38-11,24.15,14.8,12.5,4.3
38-11,24.15,14.8,12.5,4.5
38-11,21,14.8,12.5,4.3
38-11,21,14.8,12.5,4.5
38-11,21,23.725,13.8,4.3
38-11,21,23.725,13.8,4.5
38-11,24.15,14.8,13.8,4.3
38-11,24.15,14.8,13.8,4.5
4226,23.63333333,13.3,13.98333333,4.4
4226,23.63333333,13.3,13.98333333,3.9
4226,23.63333333,13.76666667,13.98333333,4.4
4226,23.63333333,13.76666667,13.98333333,3.9
4226,23.63333333,13.3,14.18333333,4.4
4226,23.63333333,13.3,14.18333333,3.9
4226,22.5,13.3,14.18333333,4.4
4226,22.5,13.3,14.18333333,3.9
4226,23.63333333,13.76666667,14.18333333,4.4
4226,23.63333333,13.76666667,14.18333333,3.9
4226,22.5,13.76666667,13.98333333,4.4
4226,22.5,13.76666667,13.98333333,3.9
4226,22.5,13.76666667,14.18333333,4.4
4226,22.5,13.76666667,14.18333333,3.9
4226,22.5,13.3,13.98333333,4.4
4226,22.5,13.3,13.98333333,3.9
4722,20.6,8.74,12.86666667,3.5
4722,20.6,8.74,12.86666667,2.8
4722,20.6,8.74,10.65,3.5
4722,20.6,8.74,10.65,2.8
4722,20.6,17.23333333,10.65,3.5
4722,20.6,17.23333333,10.65,2.8
4722,18.28,8.74,12.86666667,3.5
4722,18.28,8.74,12.86666667,2.8
4722,18.28,8.74,10.65,3.5
4722,18.28,8.74,10.65,2.8
4722,18.28,17.23333333,10.65,3.5
4722,18.28,17.23333333,10.65,2.8
4722,18.28,17.23333333,12.86666667,3.5
4722,18.28,17.23333333,12.86666667,2.8
4722,20.6,17.23333333,12.86666667,3.5
4722,20.6,17.23333333,12.86666667,2.8
A188,21.25,8,10.52857143,5.7
A188,24.3,8,10.52857143,5.7
A188,24.3,5.9,11.21666667,5.7
A188,21.25,8,11.21666667,5.7
A188,21.25,5.9,11.21666667,5.7
A188,24.3,5.9,10.52857143,5.7
A188,21.25,5.9,10.52857143,5.7
A188,24.3,8,11.21666667,5.7
A214N,16.35714286,8.4,15.48333333,6
A214N,16.35714286,8.4,16.86666667,6
A214N,,8.4,16.86666667,6
A214N,,8.4,15.48333333,6
A239,20.15,8.05,11.85,7
A239,20.15,8.05,11.85,5.5
A239,22.74,8.05,11.85,7
A239,22.74,8.05,11.85,5.5
A239,22.74,11.66,13.16666667,7
A239,22.74,11.66,13.16666667,5.5
A239,20.15,11.66,11.85,7
A239,20.15,11.66,11.85,5.5
A239,20.15,8.05,13.16666667,7
A239,20.15,8.05,13.16666667,5.5
A239,20.15,11.66,13.16666667,7
A239,20.15,11.66,13.16666667,5.5
A239,22.74,11.66,11.85,7
A239,22.74,11.66,11.85,5.5
A239,22.74,8.05,13.16666667,7
A239,22.74,8.05,13.16666667,5.5
A554,21.6,9.475,9.733333333,4.6
A554,21.6,9.475,9.733333333,4.8
A554,21.6,9.475,9.733333333,4.6
A554,21.6,9.475,9.733333333,4.8
A554,21.6,5.4,9.733333333,4.6
A554,21.6,5.4,9.733333333,4.8
A554,19.92,9.475,9.733333333,4.6
A554,19.92,9.475,9.733333333,4.8
A554,21.6,5.4,9.733333333,4.6
A554,21.6,5.4,9.733333333,4.8
A554,19.92,5.4,9.733333333,4.6
A554,19.92,5.4,9.733333333,4.8
A554,19.92,5.4,9.733333333,4.6
A554,19.92,5.4,9.733333333,4.8
A554,19.92,9.475,9.733333333,4.6
A554,19.92,9.475,9.733333333,4.8
A556,23.86666667,10.53333333,11.4,5.6
A556,23.86666667,10.175,12.66666667,5.6
A556,23.86666667,10.53333333,12.66666667,5.6
A556,23.86666667,10.175,11.4,5.6
A556,22,10.53333333,11.4,5.6
A556,22,10.53333333,12.66666667,5.6
A556,22,10.175,12.66666667,5.6
A556,22,10.175,11.4,5.6
A632,20.75,9.066666667,15.15,3.8
A632,22.33333333,9.066666667,15.15,3.8
A632,22.33333333,9.066666667,13.33333333,3.8
A632,20.75,9.066666667,13.33333333,3.8
A632,20.75,13.85,13.33333333,3.8
A632,22.33333333,13.85,13.33333333,3.8
