Genotype,LN Cob Width 2019,LN Cob Weight,LN Cob Length,LN 20 Kernel Weight
33-16,,9.4,12.2,5
33-16,24.7,9.4,12.2,5
33-16,24.7,9.4,11.4,5
33-16,,9.4,11.4,5
4226,21.3,11.4,14.8,4.9
4226,21.3,15.175,12.75,4.9
4226,21.3,15.175,14.8,4.9
4226,21.3,11.4,12.75,4.9
4226,19,11.4,14.8,4.9
4226,19,11.4,12.75,4.9
4226,19,15.175,14.8,4.9
4226,19,15.175,12.75,4.9
A188,26.5,25.2,11.11666667,6.4
A188,,25.2,11.11666667,6.4
A188,,25.2,11.3,6.4
A188,26.5,25.2,11.3,6.4
A239,23.04,6.52,12.6,4.8
A239,19.92,8.34,12.6,4.8
A239,19.92,8.34,11.8,4.8
A239,23.04,6.52,11.8,4.8
A239,19.92,6.52,11.8,4.8
A239,19.92,6.52,12.6,4.8
A239,23.04,8.34,11.8,4.8
A239,23.04,8.34,12.6,4.8
A554,19.5,5.58,8.333333333,3.9
A554,19.5,5.58,8.333333333,5.1
A554,19.5,8.266666667,8.333333333,3.9
A554,19.5,8.266666667,8.333333333,5.1
A554,19.5,8.266666667,9.766666667,3.9
A554,19.5,8.266666667,9.766666667,5.1
A554,20.8,5.58,9.766666667,3.9
A554,20.8,5.58,9.766666667,5.1
A554,19.5,5.58,9.766666667,3.9
A554,19.5,5.58,9.766666667,5.1
A554,20.8,8.266666667,8.333333333,3.9
A554,20.8,8.266666667,8.333333333,5.1
A554,20.8,5.58,8.333333333,3.9
A554,20.8,5.58,8.333333333,5.1
A554,20.8,8.266666667,9.766666667,3.9
A554,20.8,8.266666667,9.766666667,5.1
A556,20.5,3.85,12.78333333,6.6
A556,24.7,3.85,12.78333333,6.6
A556,24.7,19.8,12.78333333,6.6
A556,20.5,19.8,12.78333333,6.6
A634,23.24,6.833333333,14.51666667,5.6
A634,23.24,6.833333333,14.51666667,6.5
A634,22.3,6.833333333,14.51666667,5.6
A634,22.3,6.833333333,14.51666667,6.5
A634,22.3,12.12,14.71666667,5.6
A634,22.3,12.12,14.71666667,6.5
A634,22.3,6.833333333,14.71666667,5.6
A634,22.3,6.833333333,14.71666667,6.5
A634,22.3,12.12,14.51666667,5.6
A634,22.3,12.12,14.51666667,6.5
A634,23.24,6.833333333,14.71666667,5.6
A634,23.24,6.833333333,14.71666667,6.5
A634,23.24,12.12,14.71666667,5.6
A634,23.24,12.12,14.71666667,6.5
A634,23.24,12.12,14.51666667,5.6
A634,23.24,12.12,14.51666667,6.5
A635,21.63333333,12.56666667,8.914285714,4.6
A635,18.74285714,8.214285714,14.85,4.6
A635,18.74285714,12.56666667,8.914285714,4.6
A635,21.63333333,8.214285714,14.85,4.6
A635,21.63333333,12.56666667,14.85,4.6
A635,18.74285714,8.214285714,8.914285714,4.6
A635,21.63333333,8.214285714,8.914285714,4.6
A635,18.74285714,12.56666667,14.85,4.6
A654,23.4,9.75,15.65,5.6
A654,23.4,9.75,15.65,5.7
A654,23.4,7.04,15.55714286,5.6
A654,23.4,7.04,15.55714286,5.7
A654,20.42,7.04,15.55714286,5.6
A654,20.42,7.04,15.55714286,5.7
A654,23.4,7.04,15.65,5.6
A654,23.4,7.04,15.65,5.7
A654,20.42,7.04,15.65,5.6
A654,20.42,7.04,15.65,5.7
A654,20.42,9.75,15.55714286,5.6
A654,20.42,9.75,15.55714286,5.7
A654,23.4,9.75,15.55714286,5.6
A654,23.4,9.75,15.55714286,5.7
A654,20.42,9.75,15.65,5.6
A654,20.42,9.75,15.65,5.7
A659,24.475,5.1,14.2,5.7
A659,24.475,5.1,14.2,5.7
A659,24.475,5.1,12.06666667,5.7
A659,24.475,5.1,12.06666667,5.7
A659,24.475,8.375,14.2,5.7
A659,24.475,8.375,14.2,5.7
A659,24.475,8.375,12.06666667,5.7
A659,24.475,8.375,12.06666667,5.7
A659,20.175,5.1,12.06666667,5.7
A659,20.175,5.1,12.06666667,5.7
A659,20.175,8.375,14.2,5.7
A659,20.175,8.375,14.2,5.7
A659,20.175,8.375,12.06666667,5.7
A659,20.175,8.375,12.06666667,5.7
A659,20.175,5.1,14.2,5.7
A659,20.175,5.1,14.2,5.7
A679,23.25,11.95,11.68333333,4.5
A679,23.25,11.95,11.68333333,4.3
A679,23.25,11.175,14.68333333,4.5
A679,23.25,11.175,14.68333333,4.3
A679,24.475,11.95,14.68333333,4.5
A679,24.475,11.95,14.68333333,4.3
A679,24.475,11.175,14.68333333,4.5
A679,24.475,11.175,14.68333333,4.3
A679,23.25,11.175,11.68333333,4.5
A679,23.25,11.175,11.68333333,4.3
A679,24.475,11.95,11.68333333,4.5
A679,24.475,11.95,11.68333333,4.3
A679,24.475,11.175,11.68333333,4.5
A679,24.475,11.175,11.68333333,4.3
A679,23.25,11.95,14.68333333,4.5
A679,23.25,11.95,14.68333333,4.3
A680,22.35,13.85,15.15,4.1
A680,22.35,13.85,13.64,4.1
A680,24.575,7.4,13.64,4.1
A680,22.35,7.4,15.15,4.1
A680,24.575,13.85,13.64,4.1
A680,24.575,7.4,15.15,4.1
A680,24.575,13.85,15.15,4.1
A680,22.35,7.4,13.64,4.1
A682,20.525,11.45,16.46666667,6.4
A682,20.525,11.45,16.46666667,6.4
A682,20.525,8.62,16.46666667,6.4
A682,20.525,8.62,16.46666667,6.4
A682,20.525,11.45,12.28333333,6.4
A682,20.525,11.45,12.28333333,6.4
A682,20,11.45,16.46666667,6.4
A682,20,11.45,16.46666667,6.4
A682,20,8.62,12.28333333,6.4
A682,20,8.62,12.28333333,6.4
A682,20.525,8.62,12.28333333,6.4
A682,20.525,8.62,12.28333333,6.4
A682,20,11.45,12.28333333,6.4
A682,20,11.45,12.28333333,6.4
A682,20,8.62,16.46666667,6.4
A682,20,8.62,16.46666667,6.4
B103,22.825,9.775,13.57142857,6.3
B103,22.5,9.775,13.57142857,6.3
B103,22.825,9.775,16.66,6.3
B103,22.5,9.775,16.66,6.3
B104,25.82,19.25,14.11666667,4.1
B104,26.2,19.25,14.11666667,4.1
B104,26.2,11.36,14.11666667,4.1
B104,26.2,19.25,10.83333333,4.1
B104,25.82,19.25,10.83333333,4.1
B104,25.82,11.36,14.11666667,4.1
B104,26.2,11.36,10.83333333,4.1
B104,25.82,11.36,10.83333333,4.1
B105,24.7,27.8,14.48333333,4.9
B105,24.7,27.8,15.38571429,4.9
B105,24.7,9.4,15.38571429,4.9
B105,26.3,27.8,15.38571429,4.9
B105,26.3,9.4,15.38571429,4.9
B105,26.3,9.4,14.48333333,4.9
B105,26.3,27.8,14.48333333,4.9
B105,24.7,9.4,14.48333333,4.9
B109,23.4,13.96666667,14.77142857,5
B109,23.4,13.96666667,13.16666667,5
B109,23.4,6.8,14.77142857,5
B109,23.4,6.8,13.16666667,5
B109,25.23333333,13.96666667,13.16666667,5
B109,25.23333333,6.8,13.16666667,5
B109,25.23333333,6.8,14.77142857,5
B109,25.23333333,13.96666667,14.77142857,5
B164,22.35,10.4,15.96666667,4
B164,22.825,10.4,10.58333333,4
B164,22.35,11.775,10.58333333,4
B164,22.825,10.4,15.96666667,4
B164,22.35,11.775,15.96666667,4
B164,22.35,10.4,10.58333333,4
B164,22.825,11.775,10.58333333,4
B164,22.825,11.775,15.96666667,4
B37,,1,14.48333333,6.2
B37,22.9,1,13,6.2
B37,,1,13,6.2
B37,22.9,1,14.48333333,6.2
B46,,15.94,16.58571429,3.3
B46,20.6,15.94,16.58571429,3.3
B46,,15.94,14.8,3.3
B46,20.6,15.94,14.8,3.3
B73,23.8,6.7,12.26666667,3.6
B73,23.8,10.1,12.26666667,3.6
B73,27.1,6.7,12.26666667,3.6
B73,23.8,6.7,14.16666667,3.6
B73,27.1,10.1,14.16666667,3.6
B73,27.1,6.7,14.16666667,3.6
B73,23.8,10.1,14.16666667,3.6
B73,27.1,10.1,12.26666667,3.6
B75,23.66666667,19.66666667,12.61666667,6.3
B75,22.66666667,10.93333333,13.05,6.3
B75,22.66666667,19.66666667,13.05,6.3
B75,22.66666667,10.93333333,12.61666667,6.3
B75,23.66666667,10.93333333,12.61666667,6.3
B75,23.66666667,19.66666667,13.05,6.3
B75,23.66666667,10.93333333,13.05,6.3
B75,22.66666667,19.66666667,12.61666667,6.3
B76,27.7,12.8,9.516666667,6.9
B76,29.6,12.8,12.175,6.9
B76,27.7,19.2,9.516666667,6.9
B76,27.7,19.2,12.175,6.9
B76,29.6,12.8,9.516666667,6.9
B76,29.6,19.2,9.516666667,6.9
B76,29.6,19.2,12.175,6.9
B76,27.7,12.8,12.175,6.9
B77,19.5,12.375,14.86666667,4.6
B77,19.5,31.775,14.28333333,4.6
B77,21.975,31.775,14.28333333,4.6
B77,19.5,12.375,14.28333333,4.6
B77,21.975,12.375,14.86666667,4.6
B77,21.975,12.375,14.28333333,4.6
B77,21.975,31.775,14.86666667,4.6
B77,19.5,31.775,14.86666667,4.6
B97,23.08,12.9,12.56666667,6.3
B97,23.08,12.9,12.56666667,6.2
B97,23.75,12.9,11.73333333,6.3
B97,23.75,12.9,11.73333333,6.2
B97,23.08,10.675,11.73333333,6.3
B97,23.08,10.675,11.73333333,6.2
B97,23.08,10.675,12.56666667,6.3
B97,23.08,10.675,12.56666667,6.2
B97,23.75,12.9,12.56666667,6.3
B97,23.75,12.9,12.56666667,6.2
B97,23.08,12.9,11.73333333,6.3
B97,23.08,12.9,11.73333333,6.2
B97,23.75,10.675,11.73333333,6.3
B97,23.75,10.675,11.73333333,6.2
B97,23.75,10.675,12.56666667,6.3
B97,23.75,10.675,12.56666667,6.2
CH9,23.6,11.95,10.28333333,5.6
CH9,,11.95,10.28333333,5.6
CH9,23.6,11.95,11.575,5.6
CH9,,11.95,11.575,5.6
CM105,24.34,9.2,14.63333333,4.3
CM105,24.34,9.2,14.63333333,4.7
CM105,24.125,14.58,14.63333333,4.3
CM105,24.125,14.58,14.63333333,4.7
CM105,24.34,9.2,14.68333333,4.3
CM105,24.34,9.2,14.68333333,4.7
CM105,24.125,14.58,14.68333333,4.3
CM105,24.125,14.58,14.68333333,4.7
CM105,24.34,14.58,14.63333333,4.3
CM105,24.34,14.58,14.63333333,4.7
CM105,24.125,9.2,14.68333333,4.3
CM105,24.125,9.2,14.68333333,4.7
CM105,24.125,9.2,14.63333333,4.3
CM105,24.125,9.2,14.63333333,4.7
CM105,24.34,14.58,14.68333333,4.3
CM105,24.34,14.58,14.68333333,4.7
CM174,24.25,13.28,11.9,4.7
CM174,24.5,13.28,13.96666667,4.7
CM174,24.5,13.28,11.9,4.7
CM174,24.5,10.725,11.9,4.7
CM174,24.25,10.725,13.96666667,4.7
CM174,24.25,10.725,11.9,4.7
CM174,24.25,13.28,13.96666667,4.7
CM174,24.5,10.725,13.96666667,4.7
CM7,20.42857143,14.45714286,10.61428571,4.8
CM7,20.42857143,14.45714286,10.625,4.8
CM7,18.73333333,5.6,10.61428571,4.8
CM7,18.73333333,5.6,10.625,4.8
CM7,18.73333333,14.45714286,10.61428571,4.8
CM7,18.73333333,14.45714286,10.625,4.8
CM7,20.42857143,5.6,10.625,4.8
CM7,20.42857143,5.6,10.61428571,4.8
CML103,25.36666667,9.066666667,14.83333333,2.5
CML103,24.75,13.1,12.65,2.5
CML103,25.36666667,13.1,14.83333333,2.5
CML103,24.75,9.066666667,12.65,2.5
CML103,25.36666667,13.1,12.65,2.5
CML103,25.36666667,9.066666667,12.65,2.5
CML103,24.75,13.1,14.83333333,2.5
CML103,24.75,9.066666667,14.83333333,2.5
CML108,21.125,10.2,10.93333333,4.1
CML108,21.125,8.275,10.85,4.1
CML108,21.125,10.2,10.85,4.1
CML108,22.65,10.2,10.93333333,4.1
CML108,22.65,8.275,10.93333333,4.1
CML108,21.125,8.275,10.93333333,4.1
CML108,22.65,8.275,10.85,4.1
CML108,22.65,10.2,10.85,4.1
CML158Q,22,5.8,14.48333333,3.1
CML158Q,,5.8,14.48333333,3.1
CML218,25.1,6.4,11.86666667,2.6
CML218,25.1,13.8,12.21666667,2.6
CML218,25.1,6.4,12.21666667,2.6
CML218,25.1,13.8,11.86666667,2.6
CML218,22.95,6.4,12.21666667,2.6
CML218,22.95,13.8,11.86666667,2.6
CML218,22.95,6.4,11.86666667,2.6
CML218,22.95,13.8,12.21666667,2.6
CML220,26.25,17,10.31666667,5.2
CML220,29.5,17,10.58333333,5.2
CML220,29.5,15.8,10.58333333,5.2
CML220,29.5,15.8,10.31666667,5.2
CML220,29.5,17,10.31666667,5.2
CML220,26.25,15.8,10.58333333,5.2
CML220,26.25,17,10.58333333,5.2
CML220,26.25,15.8,10.31666667,5.2
CML323,27.2,22.2,12.56666667,5
CML323,27.2,22.2,12.56666667,4.5
CML323,,22.2,13.05,5
CML323,,22.2,13.05,4.5
CML323,27.2,22.2,13.05,5
CML323,27.2,22.2,13.05,4.5
CML323,,22.2,12.56666667,5
CML323,,22.2,12.56666667,4.5
CMV3,,6.266666667,10.45,3.8
CMV3,22.33333333,6.266666667,10.45,3.8
CMV3,,6.266666667,9.642857143,3.8
CMV3,22.33333333,6.266666667,9.642857143,3.8
CO106,23.4,14.1,11.6,3.6
CO106,24.15,9.65,10.26666667,3.6
CO106,24.15,9.65,11.6,3.6
CO106,23.4,14.1,10.26666667,3.6
CO106,24.15,14.1,10.26666667,3.6
CO106,23.4,9.65,11.6,3.6
CO106,24.15,14.1,11.6,3.6
CO106,23.4,9.65,10.26666667,3.6
DE1,28.625,15,11.15,3.6
DE1,28.625,15,9.614285714,3.6
DE1,29.9,16.5,9.614285714,3.6
DE1,29.9,15,11.15,3.6
DE1,28.625,16.5,9.614285714,3.6
DE1,28.625,16.5,11.15,3.6
DE1,29.9,15,9.614285714,3.6
DE1,29.9,16.5,11.15,3.6
DE2,25.02,9.78,13.66666667,4.5
DE2,25.02,9.78,13.66666667,4.6
DE2,25.02,9.78,13.13333333,4.5
DE2,25.02,9.78,13.13333333,4.6
DE2,,9.78,13.13333333,4.5
DE2,,9.78,13.13333333,4.6
DE2,,9.78,13.66666667,4.5
DE2,,9.78,13.66666667,4.6
DE811,23,14.8,12.4,4.1
DE811,23.2,23.3,11.93333333,4.1
DE811,23.2,14.8,12.4,4.1
DE811,23,23.3,12.4,4.1
DE811,23,14.8,11.93333333,4.1
DE811,23.2,14.8,11.93333333,4.1
DE811,23,23.3,11.93333333,4.1
DE811,23.2,23.3,12.4,4.1
EP1,24.5,3.7,10.8,3.9
EP1,21.08,3.7,10.8,3.9
EP1,24.5,3.7,9.166666667,3.9
EP1,21.08,4.64,10.8,3.9
EP1,21.08,4.64,9.166666667,3.9
EP1,21.08,3.7,9.166666667,3.9
EP1,24.5,4.64,9.166666667,3.9
EP1,24.5,4.64,10.8,3.9
F7,17.26,4.26,12.33333333,3.1
F7,20.93333333,4.26,12.33333333,3.1
F7,17.26,4.26,12.55,3.1
F7,20.93333333,6.9,12.55,3.1
F7,17.26,6.9,12.33333333,3.1
F7,20.93333333,4.26,12.55,3.1
F7,20.93333333,6.9,12.33333333,3.1
F7,17.26,6.9,12.55,3.1
H100,23.3,11.76666667,10.48333333,5.6
H100,23.3,12.8,15.2,5.6
H100,24.8,12.8,15.2,5.6
H100,23.3,12.8,10.48333333,5.6
H100,24.8,11.76666667,15.2,5.6
H100,23.3,11.76666667,15.2,5.6
H100,24.8,12.8,10.48333333,5.6
H100,24.8,11.76666667,10.48333333,5.6
H95,23.3,10.35,10.8,3.3
H95,,10.35,13.8,3.3
H95,23.3,10.35,13.8,3.3
H95,,10.35,10.8,3.3
HP301,16.35,5.2,11.88571429,2.2
HP301,20.25,5.2,11.88571429,2.2
HP301,20.25,8.35,11.88571429,2.2
HP301,16.35,8.35,11.88571429,2.2
Il14H,,12.63333333,10.1875,5.5
Il14H,22,12.63333333,10.1875,5.5
Il14H,22,12.63333333,10.91666667,5.5
Il14H,,12.63333333,10.91666667,5.5
Il677a,27.5,14.2,12.11666667,4.7
Il677a,27.5,14.2,12.11666667,4.8
Il677a,31,10.3,12.11666667,4.7
Il677a,31,10.3,12.11666667,4.8
Il677a,27.5,10.3,13.45,4.7
Il677a,27.5,10.3,13.45,4.8
Il677a,27.5,14.2,13.45,4.7
Il677a,27.5,14.2,13.45,4.8
Il677a,31,14.2,13.45,4.7
Il677a,31,14.2,13.45,4.8
Il677a,27.5,10.3,12.11666667,4.7
Il677a,27.5,10.3,12.11666667,4.8
Il677a,31,10.3,13.45,4.7
Il677a,31,10.3,13.45,4.8
Il677a,31,14.2,12.11666667,4.7
Il677a,31,14.2,12.11666667,4.8
Ill.Hy,27.4,13.6,11.95,6.2
Ill.Hy,21,12.4,11.95,6.2
Ill.Hy,27.4,13.6,11.95,6.2
Ill.Hy,21,13.6,11.95,6.2
Ill.Hy,21,12.4,11.95,6.2
Ill.Hy,21,13.6,11.95,6.2
Ill.Hy,27.4,12.4,11.95,6.2
