"","value"
"33-16",5.30441747017045
"4226",4.53753640201429
"4722",3.52393170236681
"A188",5.41321938263983
"A239",4.70473505136803
"A554",3.67043271010887
"A556",5.68833466458174
"A619",4.26373787873074
"A632",4.31237868742297
"A634",5.59129124624209
"A635",4.59816082415282
"A654",5.03955528373573
"A659",4.58999264761945
"A661",4.26373787873074
"A679",4.25219745513857
"A680",4.42862859258143
"A682",5.50955258513004
"B103",4.87132747275853
"B104",4.75351256828154
"B105",5.01538404187509
"B109",4.56420625939505
"B164",4.47829205087065
"B37",5.24387625161689
"B46",4.3033948879541
"B52",5.45920702789476
"B57",5.5143496437527
"B64",6.01330548509337
"B73",3.94024529716732
"B73Htrhm",4.38789390126322
"B75",5.60921619090166
"B76",5.57434053791983
"B77",5.0945288922507
"B79",4.42151468935194
"B84",3.95082160937182
"B97",5.92784000793563
"C103",5.06591839286851
"C123",5.36890178157679
"C49",4.66436180491007
"C49A",4.54020578237759
"CH9",5.1800259133397
"CI3A",5.06417951303606
"CI64",4.36607550089311
"CI66",4.74371654111023
"CI90C",4.95319987603176
"CM105",3.89521402816701
"CM174",3.95091641677615
"CM37",4.88579066193616
"CM7",4.42484622724477
"CML10",5.36889828642054
"CML103",3.81781238879234
"CML108",4.05328864673918
"CML158Q",3.31578872278883
"CML218",3.14880750720555
"CML220",5.09450251555518
"CML228",4.38529745909937
"CML258",5.15409705191502
"CML261",4.72449458290397
"CML314",5.31519797779416
"CML321",5.42259859504692
"CML323",5.20581706192334
"CML333",5.51300394025338
"CML5",5.2077973605414
"CML52",2.824647053489
"CML91",4.72449458290397
"CML92",4.37977901150254
"CMV3",3.81743135829572
"CO106",3.80303906984451
"CO109",3.89712130074544
"CO125",4.04387714429107
"CO255",4.0563869509956
"D940Y",5.2077973605414
"DE1",4.15506413186746
"DE2",4.46692241284125
"DE811",4.66992993621986
"E2558W",5.28641683740079
"EP1",3.65315759651466
"F2",4.69892029286592
"F2834T",5.99166002723825
"F44",4.70749931085765
"F6",5.36889828642054
"F7",3.51850831570441
"GA209",4.81489992811042
"GT112",6.53330980415462
"H100",5.62770305386297
"H84",4.95490538856256
"H91",4.70262593014116
"H95",4.08157620282328
"H99",4.43653031851002
"HP301",2.38784585621672
"I137TN",4.07570530499839
"Il14H",5.17399960776848
"Il677a",4.98304834652436
"Ill.Hy",5.19474315029912
"K4",4.01283090337359
"K55",4.81957102430026
"K64",4.06875261989983
"Ki11",4.3442068481303
"L317",5.33268105616797
"M14",4.63397205171827
"M162W",5.13222839915221
"M37W",6.05785540833002
"Mo17",5.68323386099313
"Mo1W",3.30846588487099
"Mo24W",3.75892949861661
"Mo45",4.16924524417726
"Mo46",5.1605508037669
"Mo47",4.33834106968366
"MS1334",3.48652072260675
"MS153",4.51626438104288
"Ms71",4.13786959581155
"Mt42",3.99252143385577
"N192",4.66707424037609
"N28Ht",4.22747162895878
"N6",3.764293613367
"NC222",5.17462423448723
"NC230",5.63422182434706
"NC250",4.97006548078199
"NC258",4.86065800923494
"NC260",3.83495809396951
"NC262",5.38973076599963
"NC264",4.6076149964732
"NC268",4.59891703144119
"NC290A",5.06591839286851
"NC292",4.95490763784787
"NC294",3.77048970130103
"NC296",4.61522437152013
"NC298",5.31863158698454
"NC302",5.69846997869632
"NC304",4.42151468935194
"NC306",4.84751159471106
"NC308",5.34854416953162
"NC310",4.24965994943979
"NC312",5.23818027920044
"NC316",4.64388124624516
"NC318",4.08392307429179
"NC320",4.74653566378189
"NC324",4.28826972707192
"NC326",3.94767238519428
"NC328",4.64045609542081
"NC330",6.4966082627308
"NC332",4.54371294599775
"NC334",4.28246285745488
"NC336",5.26593178016527
"NC338",4.81002654739392
"NC340",7.15900413445136
"NC342",5.28641458811548
"NC344",4.31350145097261
"NC346",5.44008516857699
"NC348",4.82073979555308
"NC350",4.26041376347279
"NC352",5.85220455921423
"NC354",4.57305650851734
"NC356",4.9186413880759
"NC358",4.41809293702811
"NC360",5.0443523423584
"NC362",5.1196187014949
"NC364",4.68463271733404
"NC366",4.92122727340291
"NC368",6.43870663988596
"NC370",5.87142302226424
"NC372",5.69217163686783
"ND246",3.30260873510463
"Oh40B",4.04387364913482
"Oh43",4.05775452163125
"Oh43E",4.46875562029489
"Oh603",5.09914444557202
"Oh7B",4.82750962576773
"Pa762",4.63743100753867
"Pa875",3.81827242567763
"Pa880",4.17789775102831
"Pa91",5.0576907684927
"R168",4.12550392690732
"R229",4.43610944264068
"SC357",4.09693565968205
"SD40",4.46863017437127
"SD44",4.50969684355469
"T232",6.47384583716963
"T234",4.9567788957833
"T8",5.55438555827731
"Tzi11",4.49263425902491
"Tzi18",4.79448086697281
"Tzi25",5.12770801283102
"Tzi9",4.49263425902491
"Va102",5.01051316629451
"Va22",4.45099084030725
"Va26",5.06918464199587
"Va35",5.404167981274
"Va59",5.76228702033527
"Va99",5.18014606795437
"VaW6",4.40197183055417
"W153R",3.53800963165776
"W182B",3.7453605593929
"W22",4.5150284010428
"W401",4.26041376347279
"W64A",3.7774030951216
"Wf9",4.76803726877764
"Yu796_NS",4.45160746538306
"A214NGoodman-Buckler",5.47191332928431
"B10",5.3863848599506
"Check",5.3010512235514
"CI31A",4.50969684355469
"CI44",4.93929581740949
"CI7Goodman-Buckler",4.72010900851497
"CI90CGoodman-Buckler",3.62760716623438
"CML154Q",4.41977580951949
"I29",4.20671345484641
"IA2132",4.20671345484641
"IDS28",3.54308779312357
"IDS91",2.62966629322871
"Ky226",4.73348103010709
"N7A",5.11787982166245
"NC232",4.92034690060671
"P39",4.49269807635213
"SA24",3.48939097965344
"SG18",3.19242250281389
