"","value"
"33-16",5.19534961145227
"38-11",4.46762877832025
"4226",4.19388123962641
"4722",4.08078355103105
"A188",4.8645685855938
"A214N",5.36708296476066
"A239",5.2438007444227
"A554",4.29412290102659
"A556",4.90581961445007
"A619",3.79017720598798
"A632",4.75694022987936
"A634",5.57253538252136
"A635",4.06943725197726
"A654",4.21793019681849
"A659",5.31261131190384
"A661",4.67764664547502
"A679",4.51721807639877
"A680",4.54228268148178
"A682",5.3168528862224
"B103",4.97846750228847
"B104",5.02029459591714
"B105",4.49411196060785
"B109",4.83308748037379
"B14A",4.90154115915038
"B164",4.56940296035872
"B37",5.10703301212267
"B46",5.29532735772104
"B52",5.12979027242825
"B57",5.29352246489639
"B64",4.76627297237603
"B68",4.90341838277551
"B73",4.40323326061461
"B73Htrhm",3.85474540204916
"B75",5.170748602623
"B76",5.57923583109326
"B77",5.31896945380443
"B79",5.04269528037974
"B84",4.89961028251636
"B97",5.5636088983708
"C103",4.57021006181024
"C123",4.33822353696651
"C49",4.79078489621521
"C49A",4.53963102813941
"CH701-30",4.92984133173993
"CH9",5.26206377987263
"CI3A",4.58908381531298
"CI64",4.92139310041667
"CI66",5.23023395037715
"CM105",5.00363570786954
"CM174",3.90388538420525
"CM37",4.55195838982427
"CM7",4.5065330122266
"CML10",4.77205128109614
"CML103",4.790296357874
"CML108",4.79830796330232
"CML158Q",4.1696619090589
"CML218",4.58048437748215
"CML220",5.35316688302847
"CML277",4.9180500688725
"CML287",3.43575517425592
"CML314",4.80297709891971
"CML323",4.21223893404192
"CML333",4.73014227919433
"CML52",4.32103668471656
"CML69",4.96110527865878
"CML91",6.33914253234955
"CML92",4.79101922131974
"CMV3",5.49803228896739
"CO106",4.19003552609776
"CO109",4.2037609710906
"CO125",4.19335576865241
"CO255",4.18625735462921
"DE1",5.17850487073409
"DE2",5.42550807876539
"DE811",5.41318974264428
"E2558W",5.30271155089491
"EP1",4.88057549583341
"F2",4.89430094082626
"F2834T",5.54061747434645
"F44",4.0218375687326
"F6",5.60280723908887
"F7",3.50332122527155
"GA209",4.67406549665148
"GT112",5.34645312821441
"H100",5.2107984269551
"H84",5.32637990504579
"H91",5.00514378642153
"H95",4.31015220383995
"H99",4.61736638771698
"HP301",2.99179496657118
"I137TN",4.70925910496403
"Il14H",4.75142227164761
"Il677a",4.97709737956119
"Ill.Hy",5.92193151875414
"K4",4.6136718496603
"K55",4.82079327927651
"K64",5.00548975881783
"Ki11",4.87515776899422
"Ky228",5.21603125701283
"L317",4.31516371669941
"M14",4.34342085596811
"M162W",5.86264683261168
"M37W",5.1034964817452
"Mo.G",5.35989375070776
"Mo17",5.77727417236164
"Mo1W",4.09562797376162
"Mo24W",5.04438008909519
"Mo44",5.09238732546282
"Mo45",4.02402276916883
"Mo46",4.83056126323858
"Mo47",4.22879242403299
"Mp339",5.59019068852276
"MS1334",4.22182010693267
"MS153",5.04606525586336
"Ms71",5.20492905773347
"Mt42",3.67373343885688
"N192",4.81833099344442
"N28Ht",4.34525886358592
"N6",4.64393104345717
"NC222",4.98683509161722
"NC230",4.6850468749975
"NC236",4.97277186238736
"NC238",4.99203109648235
"NC250",4.71381937373649
"NC258",4.64144649857047
"NC260",4.29106229182384
"NC262",5.2553236843125
"NC264",4.77144973272961
"NC268",4.91846581227937
"NC290A",5.43313184221113
"NC292",4.44897941504927
"NC294",4.1518640173183
"NC296",5.21290497171727
"NC298",4.9902869219926
"NC302",5.1962211561559
"NC304",4.73567698560789
"NC306",5.29690005774896
"NC308",5.09095636526318
"NC310",3.83965793071175
