"","value"
"33-16",23.1990359496762
"38-11",22.1758035540589
"4226",21.2331992872138
"4722",20.0147411766286
"A188",22.0101427050899
"A214N",20.3408704438924
"A239",21.6205913814577
"A554",20.8923742516075
"A556",22.3631653585124
"A619",24.8132984696045
"A632",21.6332882557503
"A634",22.7359295346675
"A635",20.2444011434557
"A654",22.5679707172401
"A659",23.3457397931879
"A661",21.2066069216667
"A679",22.9172407544674
"A680",23.6283790015638
"A682",20.1354848823965
"B103",21.1987896547257
"B104",25.2500128713414
"B105",24.3784680665546
"B109",23.5588234908793
"B14A",22.8981926871413
"B164",21.6583172600394
"B37",24.0041321024498
"B46",22.2944915454922
"B52",22.2955416642967
"B57",24.0285500272354
"B64",21.1732732695851
"B68",22.1861115458915
"B73",24.2890159811221
"B73Htrhm",24.9041904940879
"B75",22.4231102615459
"B76",24.9685228829568
"B77",21.0896552748826
"B79",24.5947659956382
"B84",23.4377293955377
"B97",22.451439061529
"C103",23.5281756144736
"C123",24.1163247151446
"C49",24.0771764954062
"C49A",23.5131897636098
"CH9",23.5226552313615
"CI3A",24.2849394568966
"CI64",23.2082178418137
"CI66",21.172902123184
"CI90C",21.9399652445282
"CM105",23.8355520522975
"CM174",23.9310460051676
"CM37",22.1090448521921
"CM7",20.2925224462044
"CML10",21.4024872426195
"CML103",23.2915171691714
"CML108",22.7023815949342
"CML158Q",23.0910358719416
"CML218",22.3670648562582
"CML220",25.2460386608447
"CML228",21.0243221121388
"CML254",19.6189791328326
"CML258",20.9699543215768
"CML261",19.8845807337171
"CML314",24.2255074524785
"CML321",24.6376305932747
"CML323",23.8359437178208
"CML333",22.739648279369
"CML5",24.6712474856141
"CML52",20.4378784455291
"CML69",24.0129013077476
"CML91",19.968771206539
"CML92",22.1344745763133
"CMV3",22.4882438723268
"CO106",22.2748542880436
"CO109",20.4382537584124
"CO125",21.5777743953051
"CO255",21.5674006950772
"D940Y",21.9498380204751
"DE1",26.4576582624598
"DE2",24.4165553114674
"DE811",21.988438139509
"E2558W",21.2205086076078
"EP1",21.3807115524888
"F2",23.6168184353317
"F2834T",19.5233984359913
"F44",21.4935677311748
"F6",20.6621445914166
"F7",20.409805189225
"GA209",20.4325594719811
"GT112",26.7224466062284
"H100",23.6920467904866
"H105W",25.2641026806099
"H84",22.0516581532317
"H91",23.2127575310294
"H95",22.6493689446776
"H99",20.5891250235533
"HP301",18.9317522018668
"I137TN",22.6896326944336
"Il14H",21.8501311215489
"Il677a",25.3292329351371
"Ill.Hy",24.9778463737406
"K4",21.712154668142
"K55",25.653542812906
"K64",22.8188892881562
"Ki11",24.5956342699092
"L317",24.3271181971985
"M14",21.6283992176715
"M162W",23.5664419029319
"M37W",24.0364917267858
"Mo17",20.0764063162819
"Mo1W",24.3222849931055
"Mo24W",26.6009292908755
"Mo45",23.2262384551987
"Mo46",25.9170558975294
"Mo47",21.9627468854676
"Mp339",22.4102119921479
"MS1334",21.805674995486
"MS153",24.3259784204288
"Ms71",22.5544584878093
"Mt42",21.3536907555352
"N192",23.9127181612728
"N28Ht",24.6129953900084
"N6",23.7819125792293
"NC222",23.3860402457486
"NC230",23.2833867140039
"NC250",22.8469997317325
"NC258",23.7024540021134
"NC260",23.3727861209091
"NC262",24.8351450242539
"NC264",22.3573729534064
"NC268",20.5297518760204
"NC290A",24.7166164571181
"NC292",26.9547423125556
"NC294",21.833430124189
"NC296",21.0987565134892
"NC298",21.3015167772626
"NC302",22.2235973861858
"NC304",21.5716728899944
"NC306",21.4737307935699
"NC308",21.8610550236214
"NC310",25.4649926595265
"NC312",22.7752538918261
"NC316",20.9058716592299
"NC318",18.438743286116
"NC320",21.0676322500649
"NC324",22.2041527524992
"NC326",25.9808245107474
"NC328",23.7700517597112
"NC330",24.7814741440345
"NC332",22.3219038530604
"NC334",19.0090140980248
"NC336",22.268600548755
"NC338",23.8313035164701
"NC340",25.1960979522455
"NC342",23.4789640834386
"NC344",22.5080577201748
"NC346",21.2050630136701
"NC348",20.547165115999
"NC350",24.5432731108986
"NC352",22.7110459992722
"NC354",22.3170200307387
"NC356",21.3709949504396
"NC358",21.6864939596589
"NC360",21.4863295310232
"NC362",22.8817005165022
"NC364",23.9501476262124
"NC366",21.8344770120808
"NC368",24.9688276824448
"NC370",21.883273010158
"NC372",24.6216631411707
"ND246",19.9766214992942
"Oh40B",20.7191677825531
"Oh43",23.7805639853867
"Oh43E",22.2675273336454
"Oh603",22.4124059357049
"Oh7B",22.5640485350432
"Os420",24.8713635937866
"Pa762",24.2255628221921
"Pa875",20.6944359475769
"Pa880",25.3196745840853
"Pa91",22.5800576986214
"R168",20.4520529524989
"R177",22.4940834170632
"R229",23.6374744358889
"SC357",20.8712324001483
"SC55",23.5056240471459
"SD40",21.7718168480481
"SD44",22.8759817827144
"T232",21.838044415717
"T234",22.8141256138473
"T8",21.4429128054316
"Tx601",25.3724556046038
"Tzi11",22.0694741999006
"Tzi18",24.3550533662609
"Tzi25",22.7309591270462
"Tzi8",23.9843818605138
"Tzi9",22.8824623534564
"Va102",21.8725639293842
"Va22",21.5979168082445
"Va26",23.5498094546214
"Va35",21.6727902567255
"Va59",23.1468250171958
"Va85",21.9138431252736
"Va99",21.9341627730327
"VaW6",22.6885265785713
"W153R",20.6453862238952
"W182B",21.5155924997067
"W22",22.6943794379661
"W401",22.2857919643403
"W64A",24.3290401923439
"Wf9",22.2225623040049
"Yu796_NS",20.2712085587182
"38-11Goodman-Buckler",23.5405167789572
"A214NGoodman-Buckler",20.8160019325506
"A641",22.32296043976
"B10",21.4171211811566
"Check",21.3360148706397
"CI187-2",21.9472806164519
"CI31A",21.7968256538277
"CI44",22.9763780757604
"CI7Goodman-Buckler",23.308844340087
"CI90CGoodman-Buckler",21.4010777904029
"CML154Q",27.5554850761475
"CML322",23.466188417435
"I29",23.3711419126531
"IA2132",22.0575886738406
"Ia5125",22.4829636244051
"IDS28",20.4868635588863
"IDS91",19.7627067766531
"Il101T",20.7664752622022
"Ki44",19.1568962813822
"KUI2021",24.2828688569389
"Ky226",23.3739607999732
"N7A",22.078981069962
"NC232",27.4126366657558
"P39",21.3302833999272
"SA24",19.4214467426939
"Sg1533",21.6001742130671
"SG18",20.3014756058103
"W117HT",21.0356433313936
