"","value"
"33-16",23.479542772067
"38-11",22.135926105291
"38-11Goodman-Buckler",22.4403868697355
"4226",22.8773823454317
"4722",20.5786485761916
"A188",22.1706924336889
"A214N",19.0104960005168
"A214NGoodman-Buckler",20.90692978143
"A239",21.5877291986659
"A554",21.338760230144
"A556",23.1332158145853
"A619",24.4278930455282
"A632",22.5896447512354
"A634",22.0410406224842
"A635",20.3712198154223
"A654",22.1085380772649
"A659",26.2738822119518
"A661",21.6971144867227
"A679",23.7070308278552
"A680",23.3682290660427
"A682",20.7592866335976
"B103",21.838644893424
"B104",25.4442795236608
"B105",24.4065205935056
"B109",24.4627979468687
"B14A",23.4150841935218
"B164",21.6124052412163
"B2",22.6313668734072
"B37",22.6727043524419
"B46",23.2766722006084
"B57",24.4349919585798
"B64",20.3618211159774
"B68",22.9118635524011
"B73",25.0785096143051
"B73Htrhm",23.6628141717248
"B75",20.2308147664519
"B76",25.1003556032212
"B77",21.1074210126105
"B79",24.4836449241266
"B84",24.2289281745509
"B97",22.6086166529976
"C103",23.1498825927589
"C123",22.444089835945
"C49",24.4136903863992
"C49A",26.0490383704557
"CH701-30",19.6599426986321
"CH9",24.7588959392334
"Check",20.9945086479912
"CI31A",21.5798895861663
"CI3A",23.5209854410691
"CI44",21.6315303835963
"CI64",24.4786109804657
"CI7Goodman-Buckler",22.97400746823
"CI90C",21.808719337694
"CI90CGoodman-Buckler",21.6371474425278
"CM105",25.2269710215624
"CM174",24.6487892570115
"CM37",22.3950328890484
"CM7",21.8762916150121
"CML10",21.4781212394766
"CML103",22.7552815934449
"CML108",26.5791071692842
"CML154Q",26.6787094313235
"CML158Q",24.7428223910868
"CML218",21.7918539124885
"CML220",26.1425432804238
"CML254",19.7377742449834
"CML261",20.2190433859186
"CML277",22.0719764106928
"CML314",23.6390396378346
"CML322",21.9214291632443
"CML323",22.724156573862
"CML333",21.9509051869898
"CML52",20.1956134888113
"CML69",21.4085916827963
"CMV3",23.254507860569
"CO106",23.6952414510735
"CO109",20.3880281979055
"CO125",21.1169342402321
"CO255",22.1161943679018
"DE1",24.3550448142335
"DE2",27.0065441691501
"DE811",22.8039345589917
"E2558W",19.8196391324212
"EP1",22.0292968032143
"F2",22.6177111391403
"F2834T",20.339858427101
"F44",19.277144957303
"F7",19.9368837470109
"GA209",20.9688914562908
"H100",23.6105671739873
"H105W",27.5350593206259
"H84",21.9196370712472
"H91",22.0882320587352
"H95",22.7282012281193
"H99",20.2603420834734
"HP301",20.3384122595439
"I29",24.4500137430956
"IA2132",23.468308654204
"Ia5125",21.1637719322648
"IDS28",21.0276965484577
"IDS91",19.9295615273451
"Il101T",20.7053359045698
"Il14H",22.7666549066012
"Il677a",22.6057923429284
"Ill.Hy",26.1013105661974
"K4",21.4176033608203
"K55",28.5990147339942
"K64",25.6973231833127
"Ki11",26.6983691375838
"Ki44",20.1084355991223
"KUI2021",26.2325218931874
"Ky226",22.8931803583976
"L317",21.6709840192167
"M14",21.2525270429335
"M162W",23.0188486206442
"M37W",22.9688845595667
"Mo17",20.3977587910149
"Mo1W",23.3925147671707
"Mo24W",28.4541008724993
"Mo44",21.8170832342061
"Mo45",22.7532333988641
"Mo46",24.0306690380017
"Mo47",22.2967937486426
"Mp339",22.5611794888363
"MS1334",21.7088583059926
"MS153",25.0011541538868
"Mt42",22.0628505725569
"N192",23.8328119053781
"N28Ht",24.2769537049763
"N6",24.6667733666597
"N7A",23.0966165757805
"NC222",21.9131243482801
"NC230",20.2352712569227
"NC232",28.647488586822
"NC236",20.8521092024661
"NC250",23.0302910815465
"NC258",23.1367879508701
"NC260",22.3525379941508
"NC262",23.1556968400448
"NC264",21.1935666486856
"NC268",20.1210606886852
"NC290A",25.3303342999902
"NC292",26.4056635607285
"NC294",22.4160180169712
"NC296",19.8999179663354
"NC298",18.8288193642465
