kwN,kwnoN,cwgN,cwgnoN,clnN,clnnoN,cwdN,cwdnoN
5.195349611,5.30441747,13.8989049,12.15945878,12.90429521,11.34461684,23.19903595,23.47954277
4.467628778,4.537536402,14.96460173,11.85904958,13.63252596,10.98735869,22.17580355,22.13592611
4.19388124,3.523931702,14.42252128,13.01306983,13.30971821,12.32181607,21.23319929,22.44038687
4.080783551,5.413219383,13.29104091,11.59664206,12.69404519,12.53964362,20.01474118,22.87738235
4.864568586,4.704735051,11.26045652,13.0195345,11.14733188,12.48886925,22.01014271,20.57864858
5.367082965,3.67043271,12.12824065,12.13004677,13.736435,12.76559604,20.34087044,22.17069243
5.243800744,5.688334665,12.39560382,11.14202553,12.04401451,11.65707358,21.62059138,19.010496
4.294122901,4.263737879,11.25174641,10.90747147,10.23569841,10.15765272,20.89237425,20.90692978
4.905819614,4.312378687,13.86352806,13.04454749,11.32543476,12.07880604,22.36316536,21.5877292
3.790177206,5.591291246,11.1558762,12.1729729,11.502329,12.13005267,24.81329847,21.33876023
4.75694023,4.598160824,12.86424742,11.81263673,12.6522195,12.78592404,21.63328826,23.13321581
5.572535383,5.039555284,12.39582762,12.9085996,11.65561952,12.54790598,22.73592953,24.42789305
4.069437252,4.589992648,10.75003234,11.45344231,12.49537768,11.98026299,20.24440114,22.58964475
4.217930197,4.263737879,13.49750444,13.92929262,12.22438298,12.48556662,22.56797072,22.04104062
5.312611312,4.252197455,15.50959968,12.65048442,12.08061547,11.49390131,23.34573979,20.37121982
4.677646645,4.428628593,14.95389654,13.02408935,11.2916524,11.73091061,21.20660692,22.10853808
4.517218076,5.509552585,14.01845496,12.72601107,12.65682581,12.05500735,22.91724075,26.27388221
4.542282681,4.871327473,15.35966073,13.24549303,13.38295834,11.82325863,23.628379,21.69711449
5.316852886,4.753512568,12.82731991,11.76434574,14.3268359,13.10908629,20.13548488,23.70703083
4.978467502,5.015384042,12.55056799,15.43023261,12.86033584,12.81887276,21.19878965,23.36822907
5.020294596,4.564206259,15.03961159,14.25149361,12.48078108,11.72825894,25.25001287,20.75928663
4.494111961,4.478292051,15.20732946,14.42222895,13.10525142,13.22843582,24.37846807,21.83864489
4.83308748,5.243876252,14.51651857,12.39100699,13.0223435,12.50656614,23.55882349,25.44427952
4.901541159,4.303394888,15.47578304,13.04091695,13.85621047,12.73608023,22.89819269,24.40652059
4.56940296,5.459207028,15.85933689,11.86356263,13.61139018,12.47286067,21.65831726,24.46279795
5.107033012,5.514349644,15.15883333,12.79041235,12.6631149,12.60855135,24.0041321,23.41508419
5.295327358,6.013305485,18.44470978,14.17900605,14.91358365,13.3594999,22.29449155,21.61240524
5.129790272,3.940245297,12.88732209,12.69446696,13.21623951,13.04141441,22.29554166,22.63136687
5.293522465,4.387893901,15.55379289,13.372942,11.73070653,11.53473211,24.02855003,22.67270435
4.766272972,5.609216191,13.26962179,12.02479805,12.90748837,12.29473648,21.17327327,23.2766722
4.903418383,5.574340538,16.53598771,12.12901633,15.63488077,12.67847038,22.18611155,24.43499196
4.403233261,5.094528892,13.7885192,11.83280258,11.81557395,11.79371122,24.28901598,20.36182112
3.854745402,4.421514689,13.45649125,13.84146503,12.77324037,12.32071355,24.90419049,22.91186355
5.170748603,3.950821609,10.89478053,13.5065407,10.92940095,12.82573985,22.42311026,25.07850961
5.579235831,5.927840008,14.28333318,12.82854828,11.94736511,11.70007168,24.96852288,23.66281417
5.318969454,5.065918393,11.41348921,14.20751759,12.51779357,12.96568503,21.08965527,20.23081477
5.04269528,5.368901782,12.53871813,12.10931889,11.22401201,11.0738033,24.594766,25.1003556
4.899610283,4.664361805,14.24034559,12.57285569,12.49849228,11.64548111,23.4377294,21.10742101
5.563608898,4.540205782,13.45636349,12.85142996,12.03485291,11.72204772,22.45143906,24.48364492
4.570210062,5.180025913,16.35724585,15.20165897,14.33852482,14.78761267,23.52817561,24.22892817
4.338223537,5.064179513,13.90540054,14.13481492,13.98919336,13.97970684,24.11632472,22.60861665
4.790784896,4.366075501,11.6739062,11.35265438,10.52497258,10.94631792,24.0771765,23.14988259
