"","value"
"33-16",11.3446168424021
"38-11",10.9873586883736
"4226",12.3218160679518
"4722",12.53964362118
"A188",12.4888692467361
"A214N",12.765596042606
"A239",11.6570735849331
"A554",10.1576527153231
"A556",12.0788060419491
"A619",12.1300526680674
"A632",12.7859240353227
"A634",12.5479059839367
"A635",11.9802629888421
"A654",12.4855666162695
"A659",11.4939013138285
"A661",11.7309106126298
"A679",12.0550073543889
"A680",11.8232586288065
"A682",13.1090862946951
"B103",12.8188727553733
"B104",11.7282589411405
"B105",13.228435821273
"B109",12.506566139386
"B14A",12.7360802250629
"B164",12.4728606702582
"B37",12.6085513540823
"B46",13.3594999049409
"B52",13.0414144065514
"B57",11.5347321074195
"B64",12.2947364831092
"B68",12.6784703794921
"B73",11.7937112175525
"B73Htrhm",12.3207135526065
"B75",12.8257398509526
"B76",11.7000716833998
"B77",12.9656850296079
"B79",11.0738033023003
"B84",11.6454811115846
"B97",11.7220477201078
"C103",14.7876126748717
"C123",13.9797068398225
"C49",10.946317923154
"C49A",10.6006433810652
"CH701-30",11.4962314940744
"CH9",11.1280974559687
"CI3A",11.8558206900314
"CI64",11.4757709577254
"CI66",13.0179297686947
"CI90C",12.3602207370674
"CM105",12.5622386834257
"CM174",12.091244127913
"CM37",11.0233477644541
"CM7",10.5477856453679
"CML10",11.5235719499317
"CML103",13.2684062644244
"CML108",11.7650829536736
"CML158Q",12.1540016624689
"CML218",11.5368622771962
"CML220",11.0627806787166
"CML228",12.0123819366481
"CML254",11.2545088855718
"CML258",11.3095244983883
"CML261",10.8913262796306
"CML277",11.120348606306
"CML287",11.9813783564379
"CML314",11.8981549901327
"CML321",11.714547184874
"CML323",13.4484576622435
"CML333",12.6595460944463
"CML5",12.6473210705346
"CML52",10.8597421234979
"CML69",11.8748924837126
"CML91",12.0051787159045
"CML92",11.5953646192357
"CMV3",10.9512517507445
"CO106",10.8687751130428
"CO109",10.3369632745702
"CO125",10.5625320992788
"CO255",12.2140643373797
"D940Y",12.3262498932196
"DE1",11.7691780106704
"DE2",11.9636060631905
"DE811",13.2154855278501
"E2558W",12.6612294358329
"EP1",10.4601829260741
"F2",12.4922354613323
"F2834T",11.876755865837
"F44",11.1662516980564
"F6",11.6038397442606
"F7",11.7113173399222
"GA209",11.0025217517178
"GT112",14.2063683149681
"H100",12.4900304306417
"H105W",12.1383111212473
"H84",11.5649196674747
"H91",14.677055065784
"H95",11.8843175567771
"H99",11.5131732820646
"HP301",11.7755985968889
"I137TN",12.504110426639
"Il14H",11.6910594498762
"Il677a",11.799260929378
"Ill.Hy",12.06165958156
"K4",11.4491760075306
"K55",12.442928578451
"K64",11.6096282899864
"Ki11",12.4079285354288
"L317",13.1399097398682
"M14",12.1234375759959
"M162W",11.9198688584764
"M37W",12.538541105835
"Mo17",13.5674521183724
"Mo1W",10.2292790776689
"Mo24W",13.687237762714
"Mo44",12.5981526757875
"Mo45",13.5257628250214
"Mo46",11.5514154797545
"Mo47",11.6913636489362
"Mp339",11.7691506857804
"MS1334",12.2308225706283
"MS153",11.5413094736767
"Ms71",12.368398597766
"Mt42",11.3342570918291
"N192",13.6019106540452
"N28Ht",11.4659862907128
"N6",11.8457561167156
"NC222",10.7871518423915
"NC230",12.2113118982248
"NC250",11.3474570542489
"NC258",11.2136605496654
"NC260",13.2046821172172
"NC262",11.8158357946567
"NC264",11.081523439587
"NC268",12.4397172432002
"NC290A",11.303042690661
"NC292",11.0950112618987
"NC294",11.5820282712549
"NC296",11.1355466915068
"NC298",13.1296035973925
"NC302",11.5093738664622
"NC304",11.9476925109778
"NC306",11.7429955116689
"NC308",12.0252993024187
"NC310",11.6349490078293
"NC312",12.5137066750821
"NC316",12.0451589864795
"NC318",11.4063244603128
"NC320",11.5849979669198
"NC324",11.4946516896907
"NC326",13.0571938032682
"NC328",11.3736528709929
"NC330",12.8755435414434
"NC332",11.9845206424879
"NC334",11.8200563132033
"NC336",12.7756836761162
"NC338",13.2653049835532
"NC340",12.460070973393
"NC342",11.9039627520829
"NC344",11.3534430281676
"NC346",11.6769964347519
"NC348",12.1868387106838
"NC350",11.4125738821193
"NC352",12.7852786360658
"NC354",11.4807604577032
"NC356",10.0916851625753
"NC358",12.1432457171123
"NC360",12.1855823063719
"NC362",12.5036891372545
"NC364",10.9932850768639
"NC366",12.1848449900011
"NC368",10.3229557469206
"NC370",12.346666436581
"NC372",11.9877910534248
"ND246",12.5185055747289
"Oh40B",13.1603659802329
"Oh43",13.5621792850632
"Oh43E",10.9323112151543
"Oh603",11.9095124639084
"Oh7B",13.4060133724962
"Os420",12.1903668779291
"Pa762",12.0175589677479
"Pa875",11.7210193058715
"Pa880",11.5445427495146
"Pa91",12.0643056183887
"R168",11.6680987383864
"R177",12.6555510969146
"R229",10.8378304131763
"SC357",11.3202343662914
"SC55",10.9430905604968
"SD40",12.2283227666706
"SD44",10.6339368388155
"T232",11.1598020291034
"T234",12.2845416636956
"T8",12.025239440066
"Tx601",11.6692258229373
"Tzi11",11.2149098615661
"Tzi18",11.9291564029235
"Tzi25",12.586537183415
"Tzi8",11.1069706405847
"Tzi9",10.7911676069148
"Va102",11.4685063257878
"Va22",13.5070200641512
"Va26",10.7325701746348
"Va35",12.4135515195458
"Va59",11.8720102670761
"Va85",12.9819510737718
"Va99",11.9238080282983
"VaW6",13.5811152702201
"W153R",11.0035024882386
"W182B",12.9470165389361
"W22",11.7745922393903
"W401",12.4407608269385
"W64A",11.3737782073195
"Wf9",11.8675797456879
"Yu796_NS",10.7481244605035
"38-11Goodman-Buckler",12.4092519017795
"A214NGoodman-Buckler",13.1138817730789
"A641",12.1976799359353
"B10",12.6944892395315
"B2",11.9796902963677
"Check",13.186715837793
"CI187-2",12.1406172644513
"CI31A",11.0753197021889
"CI44",11.857541704677
"CI7Goodman-Buckler",11.8605401296613
"CI90CGoodman-Buckler",10.8960750729293
"CML154Q",13.2560313585933
"CML322",11.2032452872398
"I29",11.7371218583543
"IA2132",12.4417517296537
"Ia5125",10.3828461690915
"IDS28",11.5594982612421
"IDS91",12.4177643297797
"Il101T",11.3771539363266
"Ki44",11.4000062933411
"KUI2021",12.1627412822009
"Ky226",11.5060862106495
"N7A",11.2260976442544
"NC232",12.3445101633807
"P39",12.0795848261986
"R4",12.2451952204983
"SA24",12.5968062084842
"Sg1533",11.5097244065037
"SG18",12.1975873391523
"W117HT",10.900768533463
