"","value"
"33-16",12.9042952147449
"38-11",13.6325259619487
"4226",13.3097182143504
"4722",12.6940451884948
"A188",11.1473318805033
"A214N",13.7364349953794
"A239",12.044014513282
"A554",10.2356984097858
"A556",11.3254347586827
"A619",11.5023289958174
"A632",12.6522195025509
"A634",11.6556195211423
"A635",12.4953776763089
"A654",12.2243829769571
"A659",12.0806154717335
"A661",11.2916524008262
"A679",12.6568258083206
"A680",13.3829583389138
"A682",14.3268358995607
"B103",12.8603358410537
"B104",12.4807810786022
"B105",13.1052514159897
"B109",13.0223435015083
"B14A",13.8562104713528
"B164",13.6113901765877
"B37",12.6631148981346
"B46",14.9135836514963
"B52",13.2162395064764
"B57",11.7307065260496
"B64",12.9074883655401
"B68",15.6348807663351
"B73",11.8155739539912
"B73Htrhm",12.7732403748039
"B75",10.9294009504376
"B76",11.9473651073709
"B77",12.5177935703541
"B79",11.2240120074862
"B84",12.4984922836707
"B97",12.0348529104285
"C103",14.3385248157216
"C123",13.9891933550282
"C49",10.5249725786794
"C49A",11.2239242879773
"CH701-30",12.531663804023
"CH9",11.557344408028
"CI3A",9.21638212143593
"CI64",11.879916827715
"CI66",10.370797781184
"CI90C",11.3234397571679
"CM105",13.283443063346
"CM174",13.0353449370564
"CM37",10.9722926986229
"CM7",10.9680443730884
"CML10",13.4896060259855
"CML103",14.0214018223388
"CML108",12.8205151776814
"CML158Q",12.2754950738865
"CML218",11.94565104593
"CML220",11.6575046091466
"CML254",11.1488160295355
"CML261",10.8183515594485
"CML277",12.6061425743757
"CML287",12.0919668962207
"CML314",11.4587482013651
"CML321",12.9250625562534
"CML323",12.5463879718766
"CML333",9.90677248957887
"CML52",12.4056902699859
"CML69",13.2986415295394
"CML91",12.0909590775377
"CML92",11.8426626643108
"CMV3",11.131190828838
"CO106",11.3025591596505
"CO109",11.4096137697375
"CO125",9.55394911348115
"CO255",12.1696299880779
"DE1",11.5619989831871
"DE2",12.5575677306972
"DE811",13.8040836315328
"E2558W",13.2255370322955
"EP1",10.4620851416367
"F2",13.2790886337436
"F2834T",11.9415899945803
"F44",11.2234394388691
"F6",12.6137464278472
"F7",11.9453634924556
"GA209",9.95460890664013
"GT112",13.1232124858981
"H100",13.133828579889
"H105W",12.2121410756704
"H84",11.9097080884767
"H91",13.7594867274389
"H95",12.0615865533866
"H99",12.2762018434589
"HP301",12.4898904689311
"I137TN",12.8060965994571
"Il14H",10.7623568649778
"Il677a",11.1075418389609
"Ill.Hy",11.4098755709816
"K4",13.2933348760935
"K55",11.9451652669766
"K64",12.0641177033028
"Ki11",13.4303743691933
"Ky228",11.6643483503094
"L317",14.1223592377741
"M14",12.5212975473755
"M162W",11.6379784188987
"M37W",12.6622223072466
"MEF156-55-2",12.3134937189351
"Mo.G",13.8888185708569
"Mo17",14.9824963935808
"Mo1W",10.7352904952353
"Mo24W",15.476013298957
"Mo44",13.4369637339671
"Mo45",14.7365837039846
"Mo46",11.0309991406519
"Mo47",11.7769787107292
"Mp339",12.3969341490991
"MS1334",13.2855876507552
"MS153",12.8952727422681
"Ms71",13.7029811878951
"Mt42",12.3837171589103
"N192",13.5408956756683
"N28Ht",11.882257369638
"N6",13.0592611924529
"NC222",9.53178889043711
"NC230",9.51749231968327
"NC236",11.3396167830747
"NC238",11.5480774558691
"NC250",11.7893252485697
"NC258",12.2302424181167
"NC260",13.249166294775
"NC262",10.445753597899
"NC264",11.3160862935908
"NC268",11.7823627407495
"NC290A",11.6994976730843
"NC292",11.2037598291559
"NC294",11.9000094239905
"NC296",12.1537583552233
"NC298",13.8183662747667
"NC302",11.578864832967
"NC304",10.7081469277312
"NC306",12.3998244368353
"NC308",12.2764060898789
"NC310",12.2045408361068
"NC312",12.8652485185384
"NC316",11.4441019286623
"NC318",11.8096266640695
"NC320",11.6137543473562
"NC324",10.7581508197707
"NC326",13.5613498037047
"NC328",11.8571176758051
"NC330",12.7218509038276
"NC332",12.5607171064221
"NC334",11.628196248264
"NC336",13.4337802599026
"NC338",12.2757411495332
"NC340",12.8198280962002
"NC342",12.9857425430567
"NC344",12.6387518028987
"NC346",12.3598184242105
"NC348",12.2003970045898
"NC350",11.2744735221258
"NC352",14.0194102092223
"NC354",11.3380948238346
"NC356",10.4264279008558
"NC358",12.4604381351771
"NC360",12.7689312518394
"NC362",12.9122934903667
"NC364",11.6493990667358
"NC366",12.6417265788661
"NC368",10.5703652302432
"NC370",11.7540447230967
"NC372",13.2404960621755
"ND246",12.6452342749893
"Oh40B",14.6877645062011
"Oh43",14.4629661384443
"Oh43E",13.399535728057
"Oh603",12.2234004796639
"Oh7B",14.1628383478639
"Os420",12.0414967847791
"Pa762",12.1287419492101
"Pa875",11.1588165502444
"Pa880",12.3206779429902
"Pa91",12.7017750263257
"R168",11.3783345814447
"R177",12.5638828790228
"R229",11.8226196644814
"SC357",12.0561119222828
"SC55",10.9896794112587
"SD40",12.2968602179153
"SD44",10.951561687
"T232",11.8393649428113
"T234",12.8282366615553
"T8",12.4704696748562
"Tx601",11.499934529003
"Tzi11",10.8371980325696
"Tzi18",13.1993193052762
"Tzi25",13.0612078761193
"Tzi8",12.7318587062218
"Tzi9",12.90622875948
"Va102",12.7172167343137
"Va22",14.1546481419849
"Va26",12.7602896306073
"Va35",13.6662356364999
"Va59",12.6982566456032
"Va85",14.9703212668699
"Va99",12.8463239368122
"VaW6",15.179257332763
"W153R",11.6107670073255
"W182B",14.328714966624
"W22",12.1561926680487
"W401",12.0412427829119
"W64A",10.7933788557048
"Wf9",12.0250490822719
"Yu796_NS",10.8844240164395
"38-11Goodman-Buckler",13.6312747193074
"A214NGoodman-Buckler",14.4285268363725
"A641",12.2208474170424
"B2",11.3371537677838
"Check",15.8267587512346
"CI187-2",14.2574767995338
"CI31A",11.9247991933628
"CI44",10.6499746809219
"CI7Goodman-Buckler",12.3645020496805
"CI90CGoodman-Buckler",11.8856532742202
"CML154Q",14.2705363115919
"CML322",12.6634517382989
"I29",10.7886542613474
"IA2132",11.9503289529837
"Ia5125",9.78180943021993
"IDS28",10.7429459691444
"IDS91",12.1163713205783
"Il101T",11.6696850588371
"Ki44",10.3239517676616
"KUI2021",12.7710372423959
"Ky226",11.1653391407874
"N7A",12.2097453088381
"NC232",12.4900895010167
"P39",12.456506234987
"R4",12.7388747286768
"SA24",13.554875050813
"Sg1533",11.3328005970978
"SG18",12.1548953581944
"W117HT",10.1611431840051
