"","value"
"33-16",12.1594588403219
"38-11",11.8590496415594
"4226",13.0130697440158
"4722",11.5966421038121
"A188",13.019534370608
"A214N",12.1300468232345
"A239",11.1420255651414
"A554",10.9074714944381
"A556",13.0445474458339
"A619",12.1729728411766
"A632",11.8126367674298
"A634",12.9085995622313
"A635",11.4534423183001
"A654",13.9292925536779
"A659",12.6504843898275
"A661",13.0240892882609
"A679",12.7260110200953
"A680",13.245492966127
"A682",11.7643457381107
"B103",15.4302325415556
"B104",14.2514935241834
"B105",14.4222287957262
"B109",12.3910069275861
"B14A",13.0409169375651
"B164",11.8635626040901
"B37",12.7904124600287
"B46",14.1790059790185
"B52",12.6944668940422
"B57",13.3729419420825
"B64",12.0247981484621
"B68",12.1290164154899
"B73",11.8328025357339
"B73Htrhm",13.8414649509508
"B75",13.5065406278027
"B76",12.8285482460672
"B77",14.2075175201916
"B79",12.1093189440233
"B84",12.5728556891337
"B97",12.8514299110497
"C103",15.2016587264728
"C123",14.1348147290557
"C49",11.3526544461861
"C49A",10.8836471220727
"CH9",12.5729988725469
"CI3A",12.7212254131319
"CI64",12.221512530099
"CI66",12.480773128492
"CI90C",12.71302180654
"CM105",13.7561619484808
"CM174",13.151519029289
"CM37",10.5788618330154
"CM7",11.2810193463451
"CML10",11.4845441796936
"CML103",12.0835301422553
"CML108",12.035604962887
"CML158Q",12.0612880313645
"CML218",11.4948154417003
"CML220",13.2020561965342
"CML228",11.2252352378654
"CML254",11.0488460660223
"CML258",12.2777127456632
"CML261",10.12552795887
"CML314",12.7525702415608
"CML321",12.3882425227619
"CML323",13.1778403935133
"CML333",13.2040242493684
"CML5",13.3787559511248
"CML52",10.7042932066116
"CML69",12.9532151834718
"CML91",11.5808020603074
"CML92",11.6441775646806
"CMV3",11.0204249121927
"CO106",12.1798881575976
"CO109",10.2832289167682
"CO125",11.6462072114253
"CO255",10.8926523751846
"D940Y",12.1756784843932
"DE1",12.9979239767836
"DE2",12.570653594655
"DE811",13.3791940941339
"E2558W",12.618766126301
"EP1",9.83161298951305
"F2",11.6379852466365
"F2834T",11.5836912862727
"F44",11.4869648084546
"F6",13.0210291923047
"F7",10.670371171386
"GA209",11.3371477612183
"GT112",16.8319273626427
"H100",12.5708850146938
"H105W",12.9304318837408
"H84",12.9529402042101
"H91",15.1611897341961
"H95",11.7906088322731
"H99",11.3592460377101
"HP301",10.5011590364655
"I137TN",13.6195234125996
"Il14H",11.8514754363701
"Il677a",12.2005075775498
"Ill.Hy",13.3719157654478
"K4",12.0825804543471
"K55",13.7686866476286
"K64",11.4666014631712
"Ki11",14.7194234273419
"L317",13.6440484303702
"M14",12.1000215582888
"M162W",13.0561650858173
"M37W",13.7322250438347
"Mo17",11.8803387083729
"Mo1W",11.0013439055245
"Mo24W",16.2334358683116
"Mo45",13.8410931490104
"Mo46",14.8317837201664
"Mo47",12.1544436401796
"Mp339",12.0746859307289
"MS1334",12.8133309709835
"MS153",14.0394941692698
"Ms71",12.6968059100135
"Mt42",11.0120104582008
"N192",14.1331442357595
"N28Ht",12.8042668099919
"N6",11.4283105175669
"NC222",12.1443647162813
"NC230",13.6053610581713
"NC250",12.9731116569459
"NC258",12.980575344142
"NC260",14.6945660799803
"NC262",16.1715612893112
