"","value"
"33-16",13.8989048993745
"38-11",14.9646017331448
"4226",14.4225212820181
"4722",13.2910409062161
"A188",11.2604565158988
"A214N",12.1282406483881
"A239",12.3956038195519
"A554",11.2517464056905
"A556",13.8635280554572
"A619",11.1558761960781
"A632",12.8642474173604
"A634",12.3958276221144
"A635",10.7500323409765
"A654",13.4975044448088
"A659",15.5095996812566
"A661",14.9538965400585
"A679",14.0184549554672
"A680",15.3596607294647
"A682",12.8273199123691
"B103",12.5505679919732
"B104",15.0396115910308
"B105",15.2073294631508
"B109",14.5165185650576
"B14A",15.4757830424727
"B164",15.8593368941936
"B37",15.1588333320467
"B46",18.4447097834426
"B52",12.8873220859828
"B57",15.5537928864316
"B64",13.2696217907208
"B68",16.5359877148927
"B73",13.7885191996678
"B73Htrhm",13.456491247671
"B75",10.89478053324
"B76",14.2833331778029
"B77",11.4134892093896
"B79",12.5387181305163
"B84",14.2403455949177
"B97",13.4563634942047
"C103",16.3572458515742
"C123",13.9054005353023
"C49",11.6739061973294
"C49A",13.1350491132438
"CH701-30",12.2949708873603
"CH9",14.7061465569901
"CI3A",11.8032795400849
"CI64",13.4602352052812
"CI66",12.432161882272
"CI90C",12.4226351203673
"CM105",20.0093837457532
"CM174",19.1890464485191
"CM37",11.0805370696656
"CM7",12.2922068082084
"CML10",13.2941496729472
"CML103",15.4554402496837
"CML108",16.1099193108753
"CML158Q",14.7297402970826
"CML218",13.0791299940118
"CML220",13.4697388396125
"CML254",10.9481718064355
"CML261",11.57030958319
"CML277",12.5330989705672
"CML287",12.236195775572
"CML314",13.3795454380372
"CML323",11.3767596711507
"CML333",12.3229463725008
"CML52",12.3978194346014
"CML69",13.2717438313907
"CML91",12.6170914372023
"CML92",12.9021936958772
"CMV3",10.3592515478207
"CO106",13.6050355284414
"CO109",10.7595686550676
"CO125",11.0713697912895
"CO255",11.6537550797088
"DE1",12.0854814789741
"DE2",16.7053803106069
"DE811",14.1226930570762
"E2558W",13.002460143281
"EP1",10.1864438650235
"F2",13.5054442332157
"F2834T",11.9606091078648
"F44",10.527706170177
"F6",13.4465642505374
"F7",10.4841019280268
"GA209",10.0013906340075
"GT112",13.5416130784056
"H100",17.8073865531655
"H105W",15.2299069881956
"H84",12.9463931427716
"H91",13.7146572902288
"H95",12.1843477813409
"H99",11.615873976926
"HP301",10.7431462213618
"I137TN",14.3923512247615
"Il14H",10.4912607645759
"Il677a",12.0873987210512
"Ill.Hy",12.7733460221545
"K4",13.1640655286545
"K55",17.6172570513087
"K64",15.7635786389808
"Ki11",17.1530471405627
"Ky228",11.3044479978822
"L317",15.2024734660863
"M14",11.3446246735005
"M162W",13.3092138943564
"M37W",13.6617244589684
"Mo.G",15.2928646019702
"Mo17",12.442983262712
"Mo1W",12.8015452074692
"Mo24W",22.0190978252609
"Mo44",15.1006445382318
"Mo45",15.0301465759521
"Mo46",12.4988811863043
"Mo47",12.5597020500162
"Mp339",13.1488026472024
"MS1334",14.1522339975643
"MS153",14.8498281182076
"Ms71",13.2212472554332
"Mt42",11.6087122786782
"N192",13.4450163437717
"N28Ht",14.1313006702144
"N6",14.0213615938514
"NC222",10.9794302321859
"NC230",10.6443743134376
"NC236",11.5274130155994
"NC238",14.1430407675692
"NC250",13.8441232482957
"NC258",14.7753027659763
"NC260",14.1420504695417
"NC262",10.709471604222
"NC264",11.4847412804467
"NC268",11.4041443527603
"NC290A",12.9823184162931
"NC292",13.5469108840419
"NC294",11.7290515172737
"NC296",10.5479788888663
"NC298",11.0569030075094
"NC302",12.4195304117644
"NC304",12.0865297841615
"NC306",13.1567578200422
"NC308",13.4170409614224
"NC310",14.6731807025616
"NC312",14.0985212643989
"NC316",13.6237504499722
"NC318",10.5310632159998
"NC320",11.8343208101839
"NC324",12.1477491628167
"NC326",22.7166624940864
"NC328",13.6504007427649
"NC330",17.6280663823264
"NC332",14.098521263056
"NC334",12.0232473113127
"NC336",11.8789263979209
"NC338",13.3932836458602
"NC340",14.9217377760461
"NC342",14.5183089890489
"NC344",14.6852670523879
"NC346",11.562166053887
"NC348",11.51184459879
"NC350",11.1844134867135
"NC352",11.7670451974623
"NC354",12.8058765885339
"NC356",9.96060828577501
"NC358",12.6910940125768
"NC360",12.377836315643
"NC362",13.030361057359
"NC364",12.9957768073111
"NC366",13.4528120966973
"NC368",13.2755306254335
"NC370",14.0401224479572
"NC372",16.0931582477393
"ND246",11.8587002914
"Oh40B",15.3874943194336
"Oh43",13.3208056487295
"Oh43E",13.2364523090413
"Oh603",16.7201601006141
"Oh7B",18.0019560010305
"Os420",15.6925449556203
"Pa762",11.9111743651477
"Pa875",10.3414197383877
"Pa880",17.5593755295496
"Pa91",13.1166729761387
"R168",10.2547037964413
"R177",16.0015181748224
"R229",14.634046718798
"SC357",19.5800098428435
"SC55",12.0786613403291
"SD40",10.7521511818873
"SD44",14.4073694796973
"T232",14.2961020073947
"T234",15.1662322492179
"T8",12.9700394559579
"Tx601",14.1547735974575
"Tzi11",11.6332975645996
"Tzi18",23.5329016892022
"Tzi25",14.5324380346655
"Tzi8",13.6205581713585
"Tzi9",19.866872860135
"Va102",13.4214195242534
"Va22",14.2081173617186
"Va26",13.4638848573783
"Va35",14.9896969206346
"Va59",12.5092957718664
"Va85",16.92654843975
"Va99",13.0830599987049
"VaW6",14.4098836966338
"W153R",11.2345135709142
"W182B",13.4027175664039
"W22",12.4187596935611
"W401",11.7016947044596
"W64A",13.2217650543844
"Wf9",14.9330160505922
"Yu796_NS",12.3414794660349
"38-11Goodman-Buckler",13.5791584199539
"A214NGoodman-Buckler",14.8076580496731
"B2",14.6516095289147
"Check",15.321226864766
"CI31A",13.0035877428199
"CI44",12.2667335366843
"CI7Goodman-Buckler",14.7036257018889
"CI90CGoodman-Buckler",13.27777059187
"CML154Q",19.9894584903
"CML322",13.8928781388952
"I29",14.0370555555937
"IA2132",11.928409853548
"Ia5125",11.1769499438782
"IDS28",10.2072864622803
"IDS91",11.5489977632491
"Il101T",11.2890096845504
"Ki44",9.87996216448158
"KUI2021",15.1045490059599
"Ky226",14.3610237011702
"N7A",13.6540600595995
"NC232",17.6242524783665
"P39",10.7751526297243
"R4",13.2288141925888
"SA24",12.0230285161681
"Sg1533",10.9584612042397
"SG18",11.9284814706873
"W117HT",10.0259134280144
