Year,Row,Genotype,Replication,Number of ears ,Total Weight (seed+cob),Seed weight 1,Weight of 20 seeds,Average seed weight,Cob weight,Average cob weight,Average cob length,Average cob width,Cob length 1,Cob width 1,Cob length 2,Cob width 2,Cob length 3,Cob width 3,Cob length 4,Cob width 4,Cob length 5,Cob width 5,Cob length 6,Cob width 6,Cob length 7,Cob Width 7,Cob Length 8,Cob width 8,Number of Seeds 1,2019_
2018,2127,B37xMo17OP,1,3,245.2,186.1,6.3,62.03333333,59.1,19.7,15,26.67666667,16,26.5,14,25.8,15,27.8,,,,,,,,,,,,
2018,1163,B73xMo17OP,1,4,668,586.8,6.2,146.7,81.2,20.3,19.675,26,20.1,28,18,25,19.5,25,21.1,26,,,,,,,,,,
2018,4403,B37xMo17OP,2,3,367.7,313.6,4.6,104.5333333,54.1,18.03333333,18.93333333,24.78333333,16.8,22.8,19.2,25.0,20.8,26.5,,,,,,,,,,,,
2018,2313,B73xMo17OP,1,4,451.4,383.5,5.8,95.875,67.9,16.975,16.025,24.5,17.2,25,16,24,15,24,15.9,25,,,,,,,,,,
2018,4559,B73xMo17OP,2,3,542.5,477.5,6.2,159.1666667,65,21.66666667,21,22.54333333,21,23.3,21,22.8,21,21.5,,,,,,,,,,,,
2018,1189,B73xMo17OP,1,3,677.1,604.8,6.4,201.6,72.3,24.1,21,27,20,28,22,26,21,27,,,,,,,,,,,,
2018,2501,B37xMo17OP,1,4,247.6,201.4,5.7,50.35,46.2,11.55,14.075,23.155,9.6,22.6,17.1,23,15.1,24,14.5,23,,,,,,,,,,
2018,2055,b73XmO17op,1,3,426.7,373.4,6.3,124.4666667,53.3,17.76666667,18.93333333,26.63,21.2,27.6,17.3,27.3,18.3,25,,,,,,,,,,,,
2018,2449,b37op,1,1,7.1,6.1,4.7,6.1,1,1,13,22.9,13,22.9,,,,,,,,,,,,,,,,
2018,4253,CML108OP,2,4,140.5,59.8,5.1,14.95,80.7,20.175,12.85,28,12,27,14,29,12.9,29,12.5,27,,,,,,,,,,
2018,4249,B37xMo17OP,2,3,504.1,443.2,5.5,147.7333333,60.9,20.3,19.33333333,24.66666667,19.4,25,18.6,24,20,25,,,,,,,,,,,,
2018,1025,B37xMo17OP,1,3,332.1,269.4,6.1,89.8,62.7,20.9,18.26666667,27.15333333,19.3,28.5,17.5,27.9,18,25.1,,,,,,,,,,,,
2018,2085,B37xMo17OP,1,4,172.9,124.6,5.9,31.15,48.3,12.075,13.225,23,11.6,22,13,25,14.2,22,14.1,23,,,,,,,,,,
2018,2113,A619OP,1,1,24.9,17,3.8,17,7.9,7.9,9.5,26.34,9.5,26.3,,,,,,,,,,,,,,,,
2018,3141,B73xMo17OP,2,3,520.2,456.3,6.1,152.1,63.9,21.3,20,25.66666667,21,25,18,26,21,26,,,,,,,,,,,,
2018,1495,B73xMo17OP,1,3,682.6,598.2,7.6,199.4,84.4,28.13333333,23.46666667,25.81333333,25,25.7,23.2,25.9,22.2,25.9,,,,,,,,,,,,
2018,2287,B73xMo17OP,1,3,308.2,260.1,5,86.7,48.1,16.03333333,15.93333333,23.97,15.5,23.1,18.1,24.7,14.2,24.2,,,,,,,,,,,,
2018,3559,B37xMo17OP,2,4,235.5,193.5,5.5,48.375,42,10.5,13.6,23.335,14,21.5,12.8,25.7,14,21.3,13.6,24.8,,,,,,,,,,
2018,1047,B37xMo17OP,1,3,381.3,321.9,4.6,107.3,59.4,19.8,20,26.94333333,19.7,24.7,21,27.3,19.3,28.9,,,,,,,,,,,,
2018,4085,B37xMo17OP,2,3,435.8,372.5,6.8,124.1666667,63.3,21.1,20.76666667,25.14,17.3,24.6,19,25.5,26,25.3,,,,,,,,,,,,
2018,4583,B73xMo17OP,2,4,576.3,508.9,5.8,127.225,67.4,16.85,18.75,24,19,25,20.5,23,15.5,23,20,25,,,,,,,,,,
2018,3387,W22OP,2,4,64.5,23.7,4.1,5.925,40.8,10.2,10.2,22.4475,10.9,22.3,13.6,24.7,7,20.1,9.3,22.7,,,,,,,,,,
2018,4479,Mo17OP,2,4,248.6,210.9,6.4,52.725,37.7,9.425,14.7,20.585,13,20.3,16,21,13.3,20,16.5,21,,,,,,,,,,
2018,2065,B73xMo17OP,1,2,296,258.4,5.8,129.2,37.6,18.8,17.55,25.44,17.1,25.6,18,25.3,,,,,,,,,,,,,,
