"","value"
"33-16",11.3446167110192
"38-11",10.9873583639253
"38-11Goodman-Buckler",12.4092519565416
"4226",12.3218161159803
"4722",12.5396436872913
"A188",12.488869323726
"A214N",12.7655961560688
"A214NGoodman-Buckler",13.1138820013641
"A239",11.6570735250977
"A554",10.157652383943
"A556",12.0788060508392
"A619",12.1300526938884
"A632",12.7859241464419
"A634",12.5479060854307
"A635",11.980262943341
"A641",12.1976799916838
"A654",12.4855667064739
"A659",11.4939012244426
"A661",11.7309105661663
"A679",12.0550073540984
"A680",11.8232585865464
"A682",13.1090864978188
"B10",12.6944893489883
"B103",12.8188729059394
"B104",11.7282588879364
"B105",13.2284360397505
"B109",12.5065662208726
"B14A",12.7360803603104
"B164",12.4728607456407
"B2",11.9796902751059
"B37",12.6085514421056
"B46",13.3595001414528
"B52",13.0414146896636
"B57",11.534732035016
"B64",12.29473655265
"B68",12.6784704714993
"B73",11.7937111699413
"B73Htrhm",12.3207136004354
"B75",12.8257400027623
"B76",11.7000716313514
"B77",12.9656851942408
"B79",11.0738031205863
"B84",11.6454810172149
"B97",11.7220476595185
"C103",14.7876132447611
"C123",13.9797073414906
"C49",10.9463177220799
"C49A",10.6006431299106
"CH701-30",11.496231323995
"CH9",11.1280972972093
"Check",13.1867160338612
"CI187-2",12.1406172460502
"CI31A",11.0753194214463
"CI3A",11.8558206819984
"CI44",11.8575416235742
"CI64",11.4757708673238
"CI66",13.0179300903958
"CI7Goodman-Buckler",11.8605400492969
"CI90C",12.3602207983113
"CI90CGoodman-Buckler",10.896074774211
"CM105",12.5622387875153
"CM174",12.0912441467056
"CM37",11.0233475898509
"CM7",10.5477853846405
"CML10",11.5235718659224
"CML103",13.2684064625142
"CML108",11.7650829071383
"CML154Q",13.2560316148756
"CML158Q",12.154001674982
"CML218",11.5368621893302
"CML220",11.0627805049945
"CML228",12.0123819917867
"CML254",11.2545086458448
"CML258",11.3095243595728
"CML261",10.891326052482
"CML277",11.1203483127088
"CML287",11.9813783028237
"CML314",11.8981550020342
"CML321",11.7145471240159
"CML322",11.203245015956
"CML323",13.4484579183956
"CML333",12.6595462355147
"CML5",12.6473212742579
"CML52",10.8597419355807
"CML69",11.8748923778294
"CML91",12.005178755209
"CML92",11.5953645838077
"CMV3",10.9512515462428
"CO106",10.8687749104465
"CO109",10.3369629351206
"CO125",10.5625318287968
"CO255",12.2140643784148
"D940Y",12.3262500147334
"DE1",11.7691779648767
"DE2",11.9636060139424
"DE811",13.2154857163558
"E2558W",12.661229523594
"EP1",10.4601826494819
"F2",12.4922355188577
"F2834T",11.8767557824572
"F44",11.166251492865
"F6",11.6038396808035
"F7",11.71131728991
"GA209",11.002521541357
"GT112",14.2063689318702
"H100",12.4900304877678
"H105W",12.1383111623753
"H84",11.5649195073017
"H91",14.6770555744231
"H95",11.8843174940092
"H99",11.5131731961686
"HP301",11.7755985524811
"I137TN",12.5041105518139
"I29",11.7371218006849
"IA2132",12.4417518455074
"Ia5125",10.3828457620469
"IDS28",11.5594981067429
"IDS91",12.4177644397262
"Il101T",11.3771537078696
"Il14H",11.6910593482352
"Il677a",11.7992608890323
"Ill.Hy",12.0616595887343
"K4",11.4491758886214
"K55",12.442928664482
"K64",11.609628215298
"Ki11",12.4079285733704
"Ki44",11.400006092556
"KUI2021",12.1627412472037
"Ky226",11.5060860139436
"L317",13.1399099414971
"M14",12.1234376006186
"M162W",11.9198687636691
"M37W",12.5385411717463
"Mo17",13.56745239285
"Mo1W",10.2292787529998
"Mo24W",13.6872380687969
"Mo44",12.5981527770685
"Mo45",13.5257630910839
"Mo46",11.5514153945237
"Mo47",11.6913635896053
"Mp339",11.7691505674019
"MS1334",12.2308226146983
"MS153",11.5413093928762
"Ms71",12.368398722244
"Mt42",11.3342569735314
"N192",13.6019109464189
"N28Ht",11.4659861900109
"N6",11.8457560468551
"N7A",11.2260974006423
"NC222",10.7871516187529
"NC230",12.2113119122004
"NC232",12.3445101951904
"NC250",11.3474569265461
"NC258",11.2136603404303
"NC260",13.2046823725906
"NC262",11.8158357635729
"NC264",11.081523269259
"NC268",12.4397173792471
"NC290A",11.3030425691931
"NC292",11.0950111002737
"NC294",11.5820281853077
"NC296",11.1355465309623
"NC298",13.1296037886842
"NC302",11.5093737375621
"NC304",11.9476925586477
"NC306",11.7429954548728
"NC308",12.0252993134949
"NC310",11.6349489314661
"NC312",12.5137067811366
"NC316",12.0451589969259
"NC318",11.4063243488061
"NC320",11.5849978657135
"NC324",11.49465159418
"NC326",13.0571939844731
"NC328",11.373652747309
"NC330",12.8755437184641
"NC332",11.9845206419528
"NC334",11.8200563208185
"NC336",12.7756838141073
"NC338",13.2653052200748
"NC340",12.4600710477318
"NC342",11.903962724438
"NC344",11.3534429134969
"NC346",11.6769962801345
"NC348",12.186838712902
"NC350",11.4125737927737
"NC352",12.7852787764198
"NC354",11.4807603720083
"NC356",10.0916848129879
"NC358",12.1432457390619
"NC360",12.1855823359886
"NC362",12.5036892428146
"NC364",10.9932848842955
"NC366",12.1848449993704
"NC368",10.3229554329558
"NC370",12.3466664770308
"NC372",11.9877910472216
"ND246",12.5185056708983
"Oh40B",13.1603662066976
"Oh43",13.5621795902114
"Oh43E",10.9323109675724
"Oh603",11.9095124435289
"Oh7B",13.4060136026082
"Os420",12.1903668787883
"P39",12.0795848528646
"Pa762",12.0175589669356
"Pa875",11.7210192631137
"Pa880",11.5445426567788
"Pa91",12.0643056260422
"R168",11.6680986805473
"R177",12.6555512123307
"R229",10.8378301924552
"R4",12.2451952348596
"SA24",12.5968063024247
"SC357",11.3202342357701
"SC55",10.943090221513
"SD40",12.2283227977672
"SD44",10.6339365799707
"Sg1533",11.509724239747
"SG18",12.1975873347806
"T232",11.1598018729516
"T234",12.2845416807374
"T8",12.0252394343843
"Tx601",11.6692256893971
"Tzi11",11.2149096930124
"Tzi18",11.9291563960256
"Tzi25",12.5865372726351
"Tzi8",11.106970343562
"Tzi9",10.7911673551718
"Va102",11.4685062255423
"Va22",13.5070203268195
"Va26",10.7325699090148
"Va35",12.4135515525129
"Va59",11.8720102131191
"Va85",12.9819512695676
"Va99",11.9238080042474
"VaW6",13.5811155146326
"W117HT",10.9007682097349
"W153R",11.0035023100415
"W182B",12.9470167127087
"W22",11.7745921596458
"W401",12.4407609100712
"W64A",11.3737780899187
"Wf9",11.8675797114541
"Yu796_NS",10.7481241061941
