"","value"
"33-16",11.3446169191412
"38-11",10.9873588210997
"38-11Goodman-Buckler",12.4092518198243
"4226",12.3218160207445
"4722",12.5396435376118
"A188",12.4888691925341
"A214N",12.765595888895
"A214NGoodman-Buckler",13.1138815776224
"A239",11.6570736236572
"A554",10.1576529316642
"A556",12.0788060242425
"A619",12.1300526507638
"A632",12.7859239125445
"A634",12.5479059171354
"A635",11.9802629667742
"A641",12.1976799154287
"A654",12.4855665568527
"A659",11.4939013718815
"A661",11.7309106426074
"A679",12.0550073387869
"A680",11.8232586406568
"A682",13.1090861614181
"B10",12.694489087396
"B103",12.8188726564741
"B104",11.7282589678382
"B105",13.2284356702642
"B109",12.5065660702936
"B14A",12.7360800904626
"B164",12.4728606051585
"B2",11.979690294422
"B37",12.6085512595857
"B46",13.3594997127687
"B52",13.0414142350183
"B57",11.5347321867067
"B64",12.2947364461478
"B68",12.6784702398152
"B73",11.7937112329028
"B73Htrhm",12.3207135055298
"B75",12.82573975124
"B76",11.7000717170305
"B77",12.9656849061297
"B79",11.0738034251188
"B84",11.6454811402727
"B97",11.7220477439473
"C103",14.7876122819372
"C123",13.9797064703592
"C49",10.9463180388839
"C49A",10.6006435449309
"CH701-30",11.4962315591879
"CH9",11.1280975701342
"Check",13.1867156622874
"CI187-2",12.1406172225297
"CI31A",11.0753198318647
"CI3A",11.8558207173345
"CI44",11.8575417115908
"CI64",11.4757710347548
"CI66",13.0179296035129
"CI7Goodman-Buckler",11.8605401360921
"CI90C",12.3602206889047
"CI90CGoodman-Buckler",10.8960752634732
"CM105",12.5622386149265
"CM174",12.0912441152063
"CM37",11.0233478782472
"CM7",10.5477858154947
"CML10",11.5235720381187
"CML103",13.268406094529
"CML108",11.7650829760092
"CML154Q",13.2560311370017
"CML158Q",12.1540016276065
"CML218",11.5368623265662
"CML220",11.0627807842449
"CML228",12.012381948224
"CML254",11.2545089959093
"CML258",11.309524624598
"CML261",10.8913264269901
"CML277",11.1203487337955
"CML287",11.9813783376568
"CML314",11.89815501178
"CML321",11.7145472168667
"CML322",11.203245385191
"CML323",13.4484574843953
"CML333",12.6595460020686
"CML5",12.6473209591027
"CML52",10.859742270673
"CML69",11.8748924734752
"CML91",12.0051787185404
"CML92",11.5953646998745
"CMV3",10.9512518877126
"CO106",10.8687752451462
"CO109",10.3369634699199
"CO125",10.5625322839898
"CO255",12.214064310124
"D940Y",12.3262498388215
"DE1",11.769178032521
"DE2",11.9636060373723
"DE811",13.2154853642234
"E2558W",12.661229298933
"EP1",10.4601831065781
"F2",12.4922353833797
"F2834T",11.8767558664181
"F44",11.1662518030358
"F6",11.603839818189
"F7",11.7113173722205
"GA209",11.0025218709496
"GT112",14.2063679368117
"H100",12.4900303529503
"H105W",12.1383111103036
"H84",11.5649197182861
"H91",14.677054699234
"H95",11.8843175513615
"H99",11.5131733378344
"HP301",11.775598615711
"I137TN",12.5041103222467
"I29",11.7371219120338
"IA2132",12.4417516698319
"Ia5125",10.3828464628873
"IDS28",11.5594983161647
"IDS91",12.4177642738218
"Il101T",11.3771540062646
"Il14H",11.6910594768516
"Il677a",11.799260947665
"Ill.Hy",12.0616595687637
"K4",11.4491760678552
"K55",12.442928510866
"K64",11.6096283307364
"Ki11",12.4079284519355
"Ki44",11.4000063707164
"KUI2021",12.162741225597
"Ky226",11.5060862598192
"L317",13.139909588785
"M14",12.1234375594756
"M162W",11.9198688409943
"M37W",12.5385410223971
"Mo17",13.5674518999681
"Mo1W",10.2292792819311
"Mo24W",13.6872375364787
"Mo44",12.5981525634042
"Mo45",13.5257626351977
"Mo46",11.5514155274002
"Mo47",11.6913636929313
"Mp339",11.7691506998831
"MS1334",12.2308225413875
"MS153",11.5413095261136
"Ms71",12.3683985755853
"Mt42",11.3342571687928
